work_order,asset_id,equipment_tag,description,priority,status,created_date,due_date,completed_date,technician,plant_unit,system,maintenance_type,cost_estimate,parts_required,downtime_hours,failure_mode
WO-2025-000403,OT1265,ALKYL-732U,Motor bearing replacement,High,In_Progress,2025-08-25,2025-11-07,,Tech_45,ALKYL,Rotating_Equipment,Preventive,19130,Yes,20,Corrosion
WO-2025-000404,OT0380,ALKYL-801S,Electrical panel inspection,Critical,In_Progress,2025-09-03,2025-11-08,,Tech_21,ALKYL,Rotating_Equipment,Shutdown,8246,Yes,26,Fatigue
WO-2025-000405,OT2413,UTILITIES-917J,Analyzer calibration,High,Open,2025-09-16,2025-11-14,,Tech_2,UTILITIES,Safety_Systems,Inspection,7691,No,33,Bearing_Failure
WO-2025-000406,OT0902,ALKYL-179S,Control valve maintenance,Low,Completed,2025-08-30,2025-11-10,2025-09-23,Tech_22,ALKYL,Instrumentation,Predictive,46016,Yes,41,Vibration
WO-2025-000407,OT0900,FCC-717F,Pump impeller inspection,Low,Open,2025-09-17,2025-10-24,,Tech_11,FCC,Rotating_Equipment,Inspection,42539,No,2,Bearing_Failure
WO-2025-000408,OT0145,FCC-796K,Valve actuator repair,Medium,On_Hold,2025-09-05,2025-10-16,,Tech_3,FCC,Instrumentation,Emergency,45862,No,47,Calibration_Drift
WO-2025-000409,OT0273,FCC-233Y,Calibrate pressure transmitter,Medium,Open,2025-09-03,2025-11-04,,Tech_32,FCC,Static_Equipment,Preventive,27447,No,7,Overheating
WO-2025-000410,OT2242,HDS-466T,Calibrate pressure transmitter,Low,Completed,2025-09-02,2025-09-24,2025-09-17,Tech_43,HDS,Piping,Corrective,48068,No,12,Electrical_Fault
WO-2025-000411,OT0524,CCR-166G,Replace mechanical seal,Low,Open,2025-09-16,2025-10-10,,Tech_34,CCR,Static_Equipment,Preventive,38215,Yes,27,Wear
WO-2025-000412,OT2114,CDU-279O,Analyzer calibration,High,Cancelled,2025-09-12,2025-10-10,,Tech_22,CDU,Static_Equipment,Inspection,25715,No,21,Wear
WO-2025-000413,OT1648,TANK_FARM-943I,Valve actuator repair,Medium,In_Progress,2025-09-02,2025-10-25,,Tech_35,TANK_FARM,Piping,Predictive,2341,No,29,Bearing_Failure
WO-2025-000414,OT1857,CDU-235L,Safety valve testing,High,On_Hold,2025-09-11,2025-10-26,,Tech_25,CDU,Piping,Emergency,9067,No,20,Overheating
WO-2025-000415,OT1878,CDU-700A,Heat exchanger cleaning,Low,On_Hold,2025-09-06,2025-10-03,,Tech_7,CDU,Rotating_Equipment,Inspection,2454,No,11,Calibration_Drift
WO-2025-000416,OT0700,CDU-618B,Valve actuator repair,High,On_Hold,2025-09-21,2025-11-18,,Tech_21,CDU,Static_Equipment,Preventive,42338,Yes,17,Wear
WO-2025-000417,OT0551,CCR-410G,Compressor overhaul,Low,In_Progress,2025-09-21,2025-11-14,,Tech_3,CCR,Safety_Systems,Preventive,27915,No,5,Electrical_Fault
WO-2025-000418,OT0681,CCR-950P,Control valve maintenance,Low,Open,2025-09-15,2025-10-17,,Tech_18,CCR,Safety_Systems,Predictive,25868,Yes,38,Fatigue
WO-2025-000419,OT0356,ALKYL-405H,Analyzer calibration,High,Open,2025-08-29,2025-11-12,,Tech_17,ALKYL,Instrumentation,Corrective,43232,No,5,Bearing_Failure
WO-2025-000420,OT1174,HDS-749F,Piping integrity check,Critical,On_Hold,2025-09-04,2025-10-15,,Tech_23,HDS,Instrumentation,Inspection,24831,No,46,Overheating
WO-2025-000421,OT0197,CCR-1012W,Analyzer calibration,High,On_Hold,2025-08-27,2025-10-20,,Tech_9,CCR,Electrical,Preventive,22180,Yes,11,Vibration
WO-2025-000422,OT1255,FCC-720O,Safety valve testing,Medium,Open,2025-09-08,2025-11-04,,Tech_40,FCC,Instrumentation,Preventive,20770,Yes,39,Corrosion
WO-2025-000423,OT0191,CDU-923N,Calibrate pressure transmitter,Medium,On_Hold,2025-09-23,2025-10-19,,Tech_19,CDU,Rotating_Equipment,Preventive,39184,Yes,24,Bearing_Failure
WO-2025-000424,OT1797,FCC-705B,Control valve maintenance,High,Cancelled,2025-08-31,2025-11-04,,Tech_15,FCC,Instrumentation,Predictive,2704,Yes,46,Bearing_Failure
WO-2025-000425,OT2343,CCR-396F,Heat exchanger cleaning,Critical,In_Progress,2025-08-31,2025-11-02,,Tech_21,CCR,Civil_Structural,Preventive,28414,Yes,18,Overheating
WO-2025-000426,OT0129,ALKYL-441F,Electrical panel inspection,Medium,Open,2025-09-13,2025-10-08,,Tech_19,ALKYL,Piping,Shutdown,39537,Yes,41,Corrosion
WO-2025-000427,OT0178,TANK_FARM-878P,Control valve maintenance,Critical,On_Hold,2025-09-15,2025-11-09,,Tech_40,TANK_FARM,Piping,Predictive,4236,No,9,Corrosion
WO-2025-000428,OT0290,ALKYL-209B,Motor bearing replacement,Low,Open,2025-08-29,2025-09-27,,Tech_36,ALKYL,Rotating_Equipment,Shutdown,45165,No,43,Vibration
WO-2025-000429,OT2437,TANK_FARM-576B,Safety valve testing,High,On_Hold,2025-09-20,2025-09-24,,Tech_38,TANK_FARM,Electrical,Shutdown,2652,Yes,21,Fatigue
WO-2025-000430,OT0870,UTILITIES-983Z,Safety valve testing,Medium,Cancelled,2025-09-14,2025-10-17,,Tech_20,UTILITIES,Safety_Systems,Shutdown,1715,Yes,7,Seal_Failure
WO-2025-000431,OT2233,CCR-116J,Compressor overhaul,Medium,Completed,2025-09-03,2025-11-06,2025-09-18,Tech_5,CCR,Civil_Structural,Predictive,41544,No,20,Calibration_Drift
WO-2025-000432,OT0421,TANK_FARM-532T,Replace mechanical seal,Medium,On_Hold,2025-08-31,2025-10-08,,Tech_33,TANK_FARM,Rotating_Equipment,Emergency,10589,Yes,10,Seal_Failure
WO-2025-000433,OT1233,UTILITIES-1017F,Electrical panel inspection,Critical,Cancelled,2025-08-25,2025-10-31,,Tech_48,UTILITIES,Static_Equipment,Inspection,34928,Yes,4,Seal_Failure
WO-2025-000434,OT0224,HDS-1038K,Valve actuator repair,High,Completed,2025-09-12,2025-10-19,2025-09-19,Tech_35,HDS,Civil_Structural,Emergency,10743,No,47,Bearing_Failure
WO-2025-000435,OT1808,HDS-385D,Control valve maintenance,Low,Cancelled,2025-09-14,2025-11-05,,Tech_40,HDS,Static_Equipment,Predictive,6663,Yes,41,Vibration
WO-2025-000436,OT2269,TANK_FARM-1070V,Heat exchanger cleaning,High,On_Hold,2025-09-11,2025-11-17,,Tech_18,TANK_FARM,Piping,Inspection,7731,No,20,Seal_Failure
WO-2025-000437,OT0675,TANK_FARM-514Q,Motor bearing replacement,Medium,In_Progress,2025-09-21,2025-10-25,,Tech_27,TANK_FARM,Instrumentation,Preventive,47659,Yes,30,Wear
WO-2025-000438,OT0550,CCR-794X,Electrical panel inspection,Low,Completed,2025-09-22,2025-10-07,2025-09-23,Tech_40,CCR,Instrumentation,Shutdown,14075,No,47,Vibration
WO-2025-000439,OT1703,ALKYL-757A,Safety valve testing,Critical,On_Hold,2025-09-17,2025-11-19,,Tech_2,ALKYL,Rotating_Equipment,Corrective,2002,Yes,34,Seal_Failure
WO-2025-000440,OT1746,ALKYL-682F,Analyzer calibration,Critical,Open,2025-09-09,2025-11-13,,Tech_31,ALKYL,Static_Equipment,Corrective,13342,No,7,Wear
WO-2025-000441,OT0759,TANK_FARM-549O,Compressor overhaul,Low,Open,2025-09-19,2025-09-28,,Tech_34,TANK_FARM,Instrumentation,Shutdown,23684,Yes,22,Fatigue
WO-2025-000442,OT1836,CCR-296Q,Safety valve testing,Low,Open,2025-09-20,2025-10-04,,Tech_37,CCR,Instrumentation,Corrective,35088,Yes,14,Corrosion
WO-2025-000443,OT1171,UTILITIES-827Y,Motor bearing replacement,Low,Completed,2025-09-10,2025-11-10,2025-09-21,Tech_26,UTILITIES,Civil_Structural,Preventive,46337,Yes,41,Overheating
WO-2025-000444,OT1787,ALKYL-269B,Pump impeller inspection,High,On_Hold,2025-09-10,2025-11-01,,Tech_8,ALKYL,Civil_Structural,Shutdown,40895,Yes,35,Bearing_Failure
WO-2025-000445,OT1425,CCR-209L,Motor bearing replacement,Low,Cancelled,2025-09-09,2025-10-15,,Tech_50,CCR,Instrumentation,Inspection,37244,No,6,Bearing_Failure
WO-2025-000446,OT0904,HDS-796E,Heat exchanger cleaning,Low,In_Progress,2025-09-01,2025-10-28,,Tech_9,HDS,Rotating_Equipment,Shutdown,38213,Yes,22,Overheating
WO-2025-000447,OT1622,CCR-446G,Valve actuator repair,Low,In_Progress,2025-09-02,2025-10-19,,Tech_13,CCR,Electrical,Emergency,2547,No,13,Wear
WO-2025-000448,OT1443,TANK_FARM-1067A,Safety valve testing,Medium,Completed,2025-09-19,2025-11-20,2025-09-18,Tech_11,TANK_FARM,Rotating_Equipment,Corrective,39778,No,39,Bearing_Failure
WO-2025-000449,OT2248,HDS-985K,Motor bearing replacement,Medium,In_Progress,2025-09-22,2025-11-21,,Tech_43,HDS,Static_Equipment,Shutdown,10827,Yes,10,Bearing_Failure
WO-2025-000450,OT1883,HDS-987N,Valve actuator repair,High,Cancelled,2025-09-05,2025-10-29,,Tech_35,HDS,Instrumentation,Shutdown,4997,No,4,Vibration
WO-2025-000451,OT1457,UTILITIES-979X,Analyzer calibration,High,Completed,2025-08-26,2025-10-24,2025-09-18,Tech_46,UTILITIES,Static_Equipment,Inspection,35489,No,22,Calibration_Drift
WO-2025-000452,OT0347,ALKYL-441R,Compressor overhaul,Critical,In_Progress,2025-09-13,2025-10-26,,Tech_4,ALKYL,Safety_Systems,Emergency,25882,No,32,Calibration_Drift
WO-2025-000453,OT2444,CDU-277L,Calibrate pressure transmitter,High,Completed,2025-09-15,2025-10-05,2025-09-19,Tech_24,CDU,Civil_Structural,Predictive,33994,No,13,Overheating
WO-2025-000454,OT0233,UTILITIES-894R,Valve actuator repair,High,Completed,2025-09-05,2025-10-08,2025-09-22,Tech_45,UTILITIES,Civil_Structural,Emergency,25992,Yes,17,Calibration_Drift
WO-2025-000455,OT2246,TANK_FARM-210F,Analyzer calibration,Low,Cancelled,2025-08-30,2025-10-14,,Tech_6,TANK_FARM,Rotating_Equipment,Corrective,28740,No,1,Fatigue
WO-2025-000456,OT0218,TANK_FARM-220E,Piping integrity check,Medium,On_Hold,2025-09-07,2025-11-13,,Tech_35,TANK_FARM,Civil_Structural,Shutdown,18952,No,13,Corrosion
WO-2025-000457,OT1313,UTILITIES-394S,Control valve maintenance,Critical,In_Progress,2025-09-10,2025-10-07,,Tech_41,UTILITIES,Static_Equipment,Predictive,35609,No,1,Fatigue
WO-2025-000458,OT1276,HDS-174P,Piping integrity check,Critical,Completed,2025-09-03,2025-09-28,2025-09-17,Tech_36,HDS,Electrical,Predictive,47669,No,10,Corrosion
WO-2025-000459,OT0038,FCC-451Z,Valve actuator repair,Critical,On_Hold,2025-08-27,2025-09-28,,Tech_26,FCC,Civil_Structural,Predictive,35249,No,19,Electrical_Fault
WO-2025-000460,OT0539,TANK_FARM-1072A,Analyzer calibration,High,Cancelled,2025-09-04,2025-11-06,,Tech_2,TANK_FARM,Instrumentation,Inspection,7641,No,1,Fatigue
WO-2025-000461,OT0803,TANK_FARM-775S,Motor bearing replacement,High,Cancelled,2025-09-05,2025-10-20,,Tech_43,TANK_FARM,Rotating_Equipment,Emergency,1379,No,13,Calibration_Drift
WO-2025-000462,OT1079,HDS-1035V,Piping integrity check,Low,On_Hold,2025-09-05,2025-11-15,,Tech_17,HDS,Static_Equipment,Predictive,38007,No,46,Seal_Failure
WO-2025-000463,OT1401,ALKYL-162Z,Compressor overhaul,High,In_Progress,2025-09-02,2025-11-17,,Tech_31,ALKYL,Electrical,Predictive,10038,No,28,Calibration_Drift
WO-2025-000464,OT1998,CCR-917W,Safety valve testing,Critical,Open,2025-08-30,2025-10-08,,Tech_7,CCR,Civil_Structural,Corrective,7033,No,6,Seal_Failure
WO-2025-000465,OT1365,FCC-578P,Pump impeller inspection,Low,Completed,2025-08-30,2025-10-04,2025-09-22,Tech_10,FCC,Safety_Systems,Predictive,16534,No,45,Bearing_Failure
WO-2025-000466,OT1137,CCR-115P,Safety valve testing,Critical,Cancelled,2025-09-04,2025-11-01,,Tech_41,CCR,Safety_Systems,Inspection,9380,Yes,31,Wear
WO-2025-000467,OT1443,CDU-774W,Electrical panel inspection,Low,Completed,2025-09-21,2025-10-09,2025-09-19,Tech_36,CDU,Safety_Systems,Shutdown,45047,No,21,Overheating
WO-2025-000468,OT0930,TANK_FARM-818Y,Heat exchanger cleaning,Low,In_Progress,2025-09-11,2025-10-27,,Tech_3,TANK_FARM,Static_Equipment,Preventive,17687,Yes,21,Electrical_Fault
WO-2025-000469,OT1643,TANK_FARM-520B,Compressor overhaul,High,Completed,2025-09-07,2025-11-20,2025-09-20,Tech_12,TANK_FARM,Electrical,Inspection,24644,Yes,40,Seal_Failure
WO-2025-000470,OT2245,HDS-472X,Heat exchanger cleaning,Critical,Completed,2025-09-09,2025-11-18,2025-09-22,Tech_32,HDS,Instrumentation,Predictive,20346,No,20,Wear
WO-2025-000471,OT1110,CDU-914X,Compressor overhaul,Medium,On_Hold,2025-08-25,2025-10-05,,Tech_45,CDU,Static_Equipment,Corrective,46095,Yes,33,Electrical_Fault
WO-2025-000472,OT2185,CCR-645R,Safety valve testing,High,Completed,2025-08-26,2025-10-05,2025-09-20,Tech_29,CCR,Safety_Systems,Emergency,2181,No,20,Calibration_Drift
WO-2025-000473,OT2106,FCC-330J,Piping integrity check,Critical,Open,2025-09-21,2025-10-23,,Tech_35,FCC,Civil_Structural,Corrective,3424,Yes,37,Seal_Failure
WO-2025-000474,OT1577,UTILITIES-705H,Control valve maintenance,Critical,Completed,2025-09-18,2025-10-04,2025-09-21,Tech_4,UTILITIES,Instrumentation,Predictive,23683,No,47,Bearing_Failure
WO-2025-000475,OT1687,ALKYL-302G,Control valve maintenance,Medium,Open,2025-08-29,2025-11-05,,Tech_26,ALKYL,Safety_Systems,Inspection,1783,Yes,18,Seal_Failure
WO-2025-000476,OT1761,ALKYL-943R,Pump impeller inspection,Low,Completed,2025-09-05,2025-09-29,2025-09-17,Tech_47,ALKYL,Safety_Systems,Corrective,37812,No,44,Fatigue
WO-2025-000477,OT1853,CDU-242U,Electrical panel inspection,Critical,On_Hold,2025-09-22,2025-11-12,,Tech_22,CDU,Rotating_Equipment,Inspection,44291,No,9,Fatigue
WO-2025-000478,OT0425,CDU-601R,Piping integrity check,High,On_Hold,2025-08-28,2025-10-19,,Tech_18,CDU,Static_Equipment,Shutdown,13744,Yes,17,Bearing_Failure
WO-2025-000479,OT1713,CCR-650G,Calibrate pressure transmitter,Low,On_Hold,2025-09-15,2025-11-15,,Tech_3,CCR,Piping,Preventive,33104,No,23,Vibration
WO-2025-000480,OT2186,CCR-761N,Pump impeller inspection,Low,Open,2025-08-26,2025-10-16,,Tech_24,CCR,Static_Equipment,Shutdown,19438,No,17,Calibration_Drift
WO-2025-000481,OT0540,FCC-934O,Piping integrity check,Critical,On_Hold,2025-09-05,2025-09-30,,Tech_33,FCC,Instrumentation,Predictive,9872,Yes,44,Calibration_Drift
WO-2025-000482,OT0384,ALKYL-923N,Control valve maintenance,Medium,Open,2025-08-26,2025-10-31,,Tech_35,ALKYL,Instrumentation,Predictive,43312,No,19,Wear
WO-2025-000483,OT2429,ALKYL-828B,Piping integrity check,Medium,Open,2025-08-29,2025-10-05,,Tech_7,ALKYL,Piping,Corrective,8541,Yes,32,Wear
WO-2025-000484,OT0802,HDS-442R,Compressor overhaul,Medium,Cancelled,2025-08-27,2025-11-09,,Tech_35,HDS,Safety_Systems,Inspection,15668,Yes,4,Vibration
WO-2025-000485,OT1430,CDU-279U,Analyzer calibration,Low,Cancelled,2025-09-09,2025-10-07,,Tech_33,CDU,Instrumentation,Corrective,20458,No,24,Wear
WO-2025-000486,OT2020,CDU-815E,Compressor overhaul,Medium,Cancelled,2025-08-25,2025-09-29,,Tech_24,CDU,Instrumentation,Emergency,5888,Yes,6,Electrical_Fault
WO-2025-000487,OT1886,FCC-851N,Heat exchanger cleaning,High,In_Progress,2025-08-27,2025-10-24,,Tech_6,FCC,Electrical,Inspection,24063,No,15,Electrical_Fault
WO-2025-000488,OT0874,CDU-189O,Piping integrity check,High,On_Hold,2025-09-23,2025-10-09,,Tech_41,CDU,Static_Equipment,Shutdown,14510,No,22,Seal_Failure
WO-2025-000489,OT1126,CCR-569K,Replace mechanical seal,Medium,Completed,2025-08-30,2025-09-27,2025-09-23,Tech_23,CCR,Piping,Emergency,22691,No,36,Calibration_Drift
WO-2025-000490,OT1291,FCC-955H,Valve actuator repair,Critical,Cancelled,2025-09-10,2025-11-02,,Tech_10,FCC,Instrumentation,Corrective,47785,No,7,Vibration
WO-2025-000491,OT0013,ALKYL-765Q,Valve actuator repair,High,Completed,2025-09-13,2025-10-13,2025-09-20,Tech_21,ALKYL,Piping,Inspection,50364,Yes,29,Electrical_Fault
WO-2025-000492,OT0046,HDS-847A,Motor bearing replacement,Critical,Open,2025-09-01,2025-11-05,,Tech_45,HDS,Rotating_Equipment,Inspection,1952,No,14,Fatigue
WO-2025-000493,OT0243,UTILITIES-230B,Replace mechanical seal,Low,On_Hold,2025-09-21,2025-10-08,,Tech_39,UTILITIES,Piping,Predictive,44411,Yes,22,Overheating
WO-2025-000494,OT1328,ALKYL-632C,Valve actuator repair,Medium,In_Progress,2025-09-23,2025-10-27,,Tech_7,ALKYL,Piping,Shutdown,1306,Yes,32,Vibration
WO-2025-000495,OT1839,HDS-840Q,Motor bearing replacement,Medium,Open,2025-09-10,2025-11-21,,Tech_6,HDS,Instrumentation,Corrective,2043,No,8,Corrosion
WO-2025-000496,OT2223,HDS-697A,Control valve maintenance,High,On_Hold,2025-09-15,2025-10-11,,Tech_19,HDS,Rotating_Equipment,Inspection,45075,Yes,40,Calibration_Drift
WO-2025-000497,OT0192,HDS-490Q,Piping integrity check,High,Completed,2025-09-06,2025-10-08,2025-09-18,Tech_42,HDS,Electrical,Emergency,11359,No,4,Seal_Failure
WO-2025-000498,OT1161,CCR-756M,Control valve maintenance,Low,On_Hold,2025-09-06,2025-11-14,,Tech_13,CCR,Rotating_Equipment,Preventive,17615,No,22,Fatigue
WO-2025-000499,OT1291,ALKYL-242Y,Motor bearing replacement,Medium,Completed,2025-09-15,2025-10-20,2025-09-19,Tech_47,ALKYL,Safety_Systems,Emergency,13696,Yes,44,Electrical_Fault
WO-2025-000500,OT0460,ALKYL-525Y,Pump impeller inspection,High,In_Progress,2025-09-08,2025-10-29,,Tech_46,ALKYL,Rotating_Equipment,Shutdown,49036,No,13,Electrical_Fault
WO-2025-000501,OT0368,ALKYL-345N,Piping integrity check,High,Open,2025-09-08,2025-11-06,,Tech_2,ALKYL,Instrumentation,Inspection,17592,No,28,Fatigue
WO-2025-000502,OT1227,UTILITIES-642A,Analyzer calibration,High,On_Hold,2025-09-03,2025-11-19,,Tech_13,UTILITIES,Static_Equipment,Shutdown,1748,Yes,7,Bearing_Failure
WO-2025-000503,OT0586,CDU-171O,Safety valve testing,Critical,On_Hold,2025-09-12,2025-10-03,,Tech_35,CDU,Civil_Structural,Preventive,37098,Yes,29,Overheating
WO-2025-000504,OT2176,TANK_FARM-128H,Safety valve testing,Critical,Cancelled,2025-09-16,2025-10-08,,Tech_45,TANK_FARM,Static_Equipment,Preventive,46090,No,19,Seal_Failure
WO-2025-000505,OT1385,CDU-905S,Control valve maintenance,Critical,Open,2025-09-04,2025-09-30,,Tech_14,CDU,Instrumentation,Predictive,37903,Yes,44,Fatigue
WO-2025-000506,OT0242,HDS-1039W,Motor bearing replacement,Low,In_Progress,2025-09-21,2025-11-15,,Tech_13,HDS,Rotating_Equipment,Preventive,8274,No,23,Bearing_Failure
WO-2025-000507,OT1616,HDS-173C,Pump impeller inspection,High,In_Progress,2025-09-10,2025-11-22,,Tech_49,HDS,Safety_Systems,Predictive,37693,Yes,17,Electrical_Fault
WO-2025-000508,OT0301,UTILITIES-122M,Heat exchanger cleaning,Medium,On_Hold,2025-09-04,2025-10-06,,Tech_16,UTILITIES,Electrical,Corrective,43458,No,44,Bearing_Failure
WO-2025-000509,OT1823,TANK_FARM-245W,Safety valve testing,Medium,Completed,2025-09-11,2025-10-26,2025-09-17,Tech_2,TANK_FARM,Electrical,Inspection,28919,No,17,Seal_Failure
WO-2025-000510,OT2183,FCC-291F,Pump impeller inspection,Medium,Completed,2025-08-26,2025-10-25,2025-09-19,Tech_39,FCC,Rotating_Equipment,Inspection,36898,No,20,Electrical_Fault
WO-2025-000511,OT0677,CCR-857H,Motor bearing replacement,High,In_Progress,2025-09-19,2025-09-28,,Tech_19,CCR,Electrical,Corrective,50459,No,31,Fatigue
WO-2025-000512,OT0083,UTILITIES-157R,Motor bearing replacement,High,Cancelled,2025-09-14,2025-11-01,,Tech_18,UTILITIES,Safety_Systems,Preventive,28321,Yes,3,Corrosion
WO-2025-000513,OT1144,CDU-326M,Analyzer calibration,Medium,Cancelled,2025-09-02,2025-11-13,,Tech_28,CDU,Electrical,Emergency,44902,No,9,Vibration
WO-2025-000514,OT0023,HDS-180L,Compressor overhaul,Critical,Cancelled,2025-08-30,2025-09-29,,Tech_35,HDS,Instrumentation,Preventive,19782,No,12,Calibration_Drift
WO-2025-000515,OT0418,HDS-449J,Control valve maintenance,Low,Completed,2025-09-03,2025-11-09,2025-09-23,Tech_25,HDS,Instrumentation,Inspection,31115,No,0,Electrical_Fault
WO-2025-000516,OT0263,CCR-239G,Safety valve testing,High,Completed,2025-08-31,2025-10-17,2025-09-22,Tech_38,CCR,Piping,Inspection,33555,Yes,17,Electrical_Fault
WO-2025-000517,OT0030,UTILITIES-538S,Heat exchanger cleaning,Medium,In_Progress,2025-09-17,2025-11-04,,Tech_17,UTILITIES,Rotating_Equipment,Corrective,5825,No,46,Fatigue
WO-2025-000518,OT2447,CDU-926C,Control valve maintenance,Low,In_Progress,2025-09-23,2025-11-10,,Tech_42,CDU,Rotating_Equipment,Emergency,37412,No,8,Wear
WO-2025-000519,OT1282,CDU-744S,Compressor overhaul,Low,Cancelled,2025-09-15,2025-10-23,,Tech_14,CDU,Safety_Systems,Preventive,45030,No,3,Wear
WO-2025-000520,OT2045,ALKYL-152U,Motor bearing replacement,High,Cancelled,2025-09-02,2025-10-12,,Tech_13,ALKYL,Piping,Predictive,6334,Yes,22,Seal_Failure
WO-2025-000521,OT0177,ALKYL-261H,Pump impeller inspection,Critical,Open,2025-08-31,2025-11-06,,Tech_7,ALKYL,Static_Equipment,Inspection,31476,No,23,Wear
WO-2025-000522,OT1637,HDS-1037A,Analyzer calibration,Low,On_Hold,2025-08-26,2025-11-08,,Tech_43,HDS,Safety_Systems,Predictive,5298,No,14,Bearing_Failure
WO-2025-000523,OT2325,ALKYL-622N,Replace mechanical seal,Low,Cancelled,2025-09-09,2025-11-04,,Tech_36,ALKYL,Static_Equipment,Preventive,47757,No,0,Seal_Failure
WO-2025-000524,OT0839,TANK_FARM-256Y,Pump impeller inspection,High,Completed,2025-09-16,2025-10-30,2025-09-22,Tech_48,TANK_FARM,Civil_Structural,Inspection,42757,No,29,Electrical_Fault
WO-2025-000525,OT1323,HDS-609N,Heat exchanger cleaning,High,Cancelled,2025-08-27,2025-10-16,,Tech_23,HDS,Civil_Structural,Preventive,27702,No,28,Bearing_Failure
WO-2025-000526,OT1060,ALKYL-434X,Pump impeller inspection,Medium,Completed,2025-08-29,2025-09-29,2025-09-20,Tech_8,ALKYL,Instrumentation,Emergency,31257,Yes,7,Calibration_Drift
WO-2025-000527,OT1388,UTILITIES-488X,Heat exchanger cleaning,High,Completed,2025-09-19,2025-10-15,2025-09-23,Tech_10,UTILITIES,Piping,Shutdown,15658,Yes,32,Electrical_Fault
WO-2025-000528,OT0900,CDU-736R,Safety valve testing,Critical,Open,2025-09-13,2025-10-04,,Tech_17,CDU,Instrumentation,Inspection,47165,Yes,29,Calibration_Drift
WO-2025-000529,OT0538,CCR-106F,Safety valve testing,Low,In_Progress,2025-09-12,2025-11-17,,Tech_16,CCR,Civil_Structural,Preventive,12051,Yes,17,Overheating
WO-2025-000530,OT1069,HDS-441R,Calibrate pressure transmitter,Medium,In_Progress,2025-08-27,2025-10-02,,Tech_34,HDS,Instrumentation,Shutdown,18655,No,18,Electrical_Fault
WO-2025-000531,OT1636,TANK_FARM-777G,Safety valve testing,High,Cancelled,2025-08-25,2025-11-06,,Tech_49,TANK_FARM,Piping,Predictive,35800,No,36,Overheating
WO-2025-000532,OT0373,CDU-913R,Piping integrity check,High,In_Progress,2025-09-04,2025-10-23,,Tech_50,CDU,Rotating_Equipment,Emergency,14155,No,47,Bearing_Failure
WO-2025-000533,OT1616,CDU-880X,Piping integrity check,Low,Open,2025-09-05,2025-10-02,,Tech_25,CDU,Civil_Structural,Inspection,17435,No,40,Corrosion
WO-2025-000534,OT1793,FCC-156P,Pump impeller inspection,Low,Cancelled,2025-09-17,2025-10-18,,Tech_13,FCC,Static_Equipment,Emergency,31437,No,9,Wear
WO-2025-000535,OT2244,CDU-836B,Compressor overhaul,High,On_Hold,2025-09-14,2025-10-29,,Tech_50,CDU,Civil_Structural,Preventive,33682,Yes,22,Bearing_Failure
WO-2025-000536,OT1691,HDS-369K,Safety valve testing,Low,Open,2025-09-04,2025-10-12,,Tech_49,HDS,Instrumentation,Predictive,26032,Yes,8,Calibration_Drift
WO-2025-000537,OT1444,HDS-608E,Analyzer calibration,Medium,Completed,2025-09-11,2025-11-09,2025-09-22,Tech_46,HDS,Civil_Structural,Shutdown,29693,Yes,8,Bearing_Failure
WO-2025-000538,OT0464,ALKYL-165V,Piping integrity check,High,Open,2025-08-30,2025-09-24,,Tech_16,ALKYL,Piping,Emergency,46159,No,27,Vibration
WO-2025-000539,OT0246,TANK_FARM-588K,Replace mechanical seal,Critical,Open,2025-09-21,2025-11-18,,Tech_8,TANK_FARM,Civil_Structural,Corrective,19483,No,35,Bearing_Failure
WO-2025-000540,OT2063,TANK_FARM-676M,Calibrate pressure transmitter,Low,Completed,2025-09-18,2025-10-31,2025-09-23,Tech_27,TANK_FARM,Piping,Corrective,28994,Yes,19,Wear
WO-2025-000541,OT2339,UTILITIES-685W,Replace mechanical seal,Medium,In_Progress,2025-09-20,2025-10-08,,Tech_2,UTILITIES,Static_Equipment,Preventive,10567,No,33,Seal_Failure
WO-2025-000542,OT1921,HDS-672V,Compressor overhaul,Low,Open,2025-09-07,2025-09-28,,Tech_32,HDS,Electrical,Corrective,8296,Yes,34,Electrical_Fault
WO-2025-000543,OT0174,HDS-463Q,Motor bearing replacement,High,In_Progress,2025-09-07,2025-09-24,,Tech_24,HDS,Civil_Structural,Inspection,38938,No,28,Seal_Failure
WO-2025-000544,OT0424,ALKYL-928G,Pump impeller inspection,Low,In_Progress,2025-09-02,2025-10-13,,Tech_50,ALKYL,Piping,Predictive,31332,No,40,Electrical_Fault
WO-2025-000545,OT1234,FCC-144S,Heat exchanger cleaning,Low,On_Hold,2025-09-04,2025-11-16,,Tech_50,FCC,Rotating_Equipment,Preventive,35562,No,41,Bearing_Failure
WO-2025-000546,OT1884,TANK_FARM-616P,Calibrate pressure transmitter,Medium,Open,2025-08-27,2025-10-07,,Tech_13,TANK_FARM,Rotating_Equipment,Corrective,34680,Yes,33,Calibration_Drift
WO-2025-000547,OT0686,CDU-226E,Replace mechanical seal,High,On_Hold,2025-09-22,2025-11-11,,Tech_9,CDU,Static_Equipment,Preventive,50193,No,20,Fatigue
WO-2025-000548,OT1337,CDU-548I,Analyzer calibration,High,Completed,2025-09-16,2025-10-27,2025-09-22,Tech_35,CDU,Electrical,Corrective,19721,Yes,7,Overheating
