asset_id,normal_operating_range,alarm_thresholds,performance_indicators,maintenance_strategy,run_time_hours,last_major_service,next_service_due,operating_efficiency,degradation_rate
A0149,"Approach Temp: 20°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,26400,2025-09-17,2025-12-31,90.5,Moderate
A0150,"Approach Temp: 10°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,53386,2025-07-16,2025-12-16,86.4,Accelerated
A0151,"Approach Temp: 24°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,51878,2025-02-20,2026-02-08,89.8,Accelerated
A0152,"Approach Temp: 24°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,10104,2025-02-20,2025-11-01,93.1,Normal
A0153,"Approach Temp: 27°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,49663,2024-10-26,2025-12-06,85.1,Accelerated
A0154,"Approach Temp: 19°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,11113,2024-11-16,2025-11-04,94.9,Normal
A0155,"Approach Temp: 17°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,18948,2025-09-09,2025-10-20,87.4,Normal
A0156,"Approach Temp: 16°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,36389,2025-01-02,2025-09-25,87.3,Moderate
A0157,"Approach Temp: 16°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,17928,2025-03-03,2025-11-04,88.9,Normal
A0158,"Approach Temp: 12°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,19936,2025-02-01,2025-10-30,94.4,Normal
A0159,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,22337,2025-01-09,2025-11-09,94.3,Normal
A0160,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,36887,2025-06-13,2026-01-17,91.1,Moderate
A0161,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,41561,2025-03-24,2026-01-15,87.9,Accelerated
A0162,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54333,2025-05-18,2026-03-10,93.7,Accelerated
A0163,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,45951,2025-08-05,2026-02-23,93.2,Accelerated
A0164,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24615,2025-02-16,2025-10-23,90.8,Normal
A0165,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,40529,2025-09-19,2025-11-25,91.5,Accelerated
A0166,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,58689,2025-05-29,2026-01-20,93.0,Accelerated
A0167,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,26941,2024-12-20,2025-09-27,87.0,Moderate
A0168,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20644,2025-04-22,2026-01-04,91.4,Normal
A0169,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,43836,2025-03-31,2026-03-20,89.7,Accelerated
A0170,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,14721,2025-04-23,2026-02-01,93.0,Normal
A0171,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,38283,2025-03-16,2026-03-18,86.8,Moderate
A0172,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,41627,2025-05-06,2025-11-02,86.8,Accelerated
A0173,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,12862,2025-04-13,2025-11-15,87.1,Normal
A0174,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,39891,2024-10-02,2026-03-02,88.7,Moderate
A0175,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54243,2025-08-25,2025-10-30,87.1,Accelerated
A0176,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,53981,2024-11-28,2025-09-24,88.7,Accelerated
A0177,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44408,2025-06-01,2026-03-01,88.5,Accelerated
A0178,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,13838,2025-09-19,2025-10-11,92.1,Normal
A0179,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48509,2025-05-08,2026-01-23,85.7,Accelerated
A0180,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,22345,2025-01-20,2025-09-25,90.2,Normal
A0181,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,36108,2025-01-08,2025-12-16,85.6,Moderate
A0182,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20729,2025-02-23,2026-02-23,89.7,Normal
A0183,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15304,2025-03-23,2026-02-10,91.5,Normal
A0184,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,38774,2025-02-08,2025-11-17,92.7,Moderate
A0185,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20289,2025-04-05,2025-12-12,91.3,Normal
A0186,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,17231,2024-11-02,2025-12-21,87.3,Normal
A0187,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,35853,2025-07-13,2026-01-16,86.3,Moderate
A0188,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,36973,2024-11-21,2026-01-30,92.2,Moderate
A0189,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,40290,2025-08-16,2025-10-26,92.9,Accelerated
A0190,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,27086,2025-06-05,2026-02-11,92.8,Moderate
A0191,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,49705,2025-08-10,2025-11-05,86.8,Accelerated
A0192,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24146,2025-03-25,2025-11-04,87.1,Normal
A0193,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48603,2025-01-19,2025-11-17,91.5,Accelerated
A0194,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20720,2025-01-13,2026-01-24,85.6,Normal
A0195,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,30221,2025-03-05,2025-12-30,85.5,Moderate
A0196,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,11717,2024-12-17,2025-11-22,94.0,Normal
A0197,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,59583,2025-09-07,2026-02-10,88.4,Accelerated
A0198,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,40437,2024-12-18,2025-11-07,88.5,Accelerated
A0199,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20154,2025-06-08,2026-01-13,94.6,Normal
A0200,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,34836,2025-07-27,2025-11-13,92.4,Moderate
A0201,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,17827,2025-02-18,2025-10-09,93.0,Normal
A0202,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28967,2025-09-13,2025-12-30,92.6,Moderate
A0203,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,21295,2025-02-05,2025-12-01,89.2,Normal
A0204,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,42528,2025-07-21,2025-12-31,90.1,Accelerated
A0205,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,25425,2025-04-03,2025-12-19,91.7,Moderate
A0206,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,30993,2025-09-06,2026-02-10,94.4,Moderate
A0207,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,16433,2025-02-02,2026-03-04,85.5,Normal
A0208,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,57853,2025-05-18,2025-10-08,92.7,Accelerated
A0209,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,34975,2025-06-03,2025-10-23,87.7,Moderate
A0210,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,51802,2025-04-15,2025-11-03,91.4,Accelerated
A0211,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,42047,2025-04-20,2025-11-15,94.2,Accelerated
A0212,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,12296,2025-01-21,2026-03-11,85.3,Normal
A0213,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,37122,2024-11-18,2025-12-16,85.2,Moderate
A0214,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,53369,2025-04-20,2025-11-13,90.7,Accelerated
A0215,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54056,2025-04-30,2026-01-07,93.7,Accelerated
A0216,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,53251,2024-12-25,2026-02-27,90.5,Accelerated
A0217,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,51895,2025-05-02,2026-03-10,86.9,Accelerated
A0218,"Flow: 503 GPM, Pressure: 175 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,41875,2024-11-16,2025-09-28,89.5,Accelerated
A0219,"Flow: 1051 GPM, Pressure: 199 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,57673,2025-02-12,2025-10-19,86.5,Accelerated
A0220,"Flow: 1458 GPM, Pressure: 158 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,43384,2024-10-11,2025-12-04,85.6,Accelerated
A0221,"Flow: 671 GPM, Pressure: 113 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,21408,2025-03-26,2025-12-27,85.8,Normal
A0222,"Flow: 904 GPM, Pressure: 240 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,16869,2025-06-05,2026-01-21,90.3,Normal
A0223,"Flow: 678 GPM, Pressure: 119 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,36347,2024-10-10,2026-03-16,86.5,Moderate
A0224,"Flow: 1452 GPM, Pressure: 243 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,21769,2024-11-09,2026-02-24,89.6,Normal
A0225,"Flow: 915 GPM, Pressure: 211 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,44170,2025-02-24,2025-11-16,91.8,Accelerated
A0226,"Flow: 556 GPM, Pressure: 170 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,10541,2025-06-27,2025-10-06,89.5,Normal
A0227,"Flow: 1065 GPM, Pressure: 241 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,43350,2025-08-29,2025-12-21,88.9,Accelerated
A0228,"Suction: 108 PSI, Discharge: 393 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,38230,2025-03-12,2025-11-23,94.2,Moderate
A0229,"Suction: 142 PSI, Discharge: 246 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,56545,2025-08-18,2026-01-21,94.5,Accelerated
A0230,"Suction: 131 PSI, Discharge: 273 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,20450,2024-09-24,2025-10-31,85.6,Normal
A0231,"Suction: 117 PSI, Discharge: 292 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,30887,2024-09-29,2025-12-04,93.7,Moderate
A0232,"Suction: 101 PSI, Discharge: 397 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,23308,2025-04-12,2026-03-02,89.9,Normal
A0233,"Suction: 83 PSI, Discharge: 336 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,40893,2025-08-01,2025-10-22,87.6,Accelerated
A0234,"Suction: 65 PSI, Discharge: 365 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,54972,2024-10-16,2025-11-12,93.3,Accelerated
A0235,"Suction: 70 PSI, Discharge: 422 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,20803,2025-05-19,2025-12-03,87.8,Normal
A0236,"Suction: 81 PSI, Discharge: 249 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,28814,2024-11-12,2025-11-30,91.9,Moderate
A0237,"Approach Temp: 17°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,57916,2025-06-26,2026-03-18,86.8,Accelerated
A0238,"Approach Temp: 29°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,12191,2024-12-04,2026-01-12,91.3,Normal
A0239,"Approach Temp: 15°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,40444,2025-03-15,2025-12-23,86.4,Accelerated
A0240,"Approach Temp: 20°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,23231,2025-05-25,2026-03-07,93.0,Normal
A0241,"Approach Temp: 15°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,40284,2025-08-30,2025-09-27,93.0,Accelerated
A0242,"Approach Temp: 13°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,22237,2024-10-10,2026-03-03,93.3,Normal
A0243,"Approach Temp: 23°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,32439,2024-10-06,2026-01-30,88.3,Moderate
A0244,"Approach Temp: 21°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,39394,2025-07-24,2026-02-18,85.8,Moderate
A0245,"Approach Temp: 14°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,20107,2025-09-06,2026-02-23,90.1,Normal
A0246,"Approach Temp: 26°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,29323,2025-03-21,2026-02-06,86.0,Moderate
A0247,"Approach Temp: 10°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,59295,2025-04-14,2026-02-04,88.8,Accelerated
A0248,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,14470,2025-03-28,2026-02-15,88.4,Normal
A0249,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,11501,2025-05-21,2026-01-11,94.7,Normal
A0250,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,46919,2024-12-18,2025-11-15,87.7,Accelerated
A0251,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15074,2025-03-10,2026-03-08,86.1,Normal
A0252,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54011,2025-07-29,2025-10-04,89.6,Accelerated
A0253,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,34620,2025-01-22,2026-01-14,87.6,Moderate
A0254,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,33465,2024-11-07,2025-12-08,89.7,Moderate
A0255,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,16650,2025-01-05,2026-02-06,89.5,Normal
A0256,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,56659,2025-06-29,2026-02-04,86.3,Accelerated
A0257,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,35252,2025-03-12,2025-12-24,94.2,Moderate
A0258,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,56620,2025-09-07,2026-01-26,87.9,Accelerated
A0259,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,16156,2025-04-17,2025-11-07,90.4,Normal
A0260,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,43753,2025-09-04,2026-01-15,86.7,Accelerated
A0261,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,55723,2025-01-24,2026-01-30,87.0,Accelerated
A0262,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29253,2025-01-14,2026-03-13,85.1,Moderate
A0263,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,56652,2025-03-22,2026-01-09,90.0,Accelerated
A0264,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,42890,2025-07-10,2026-02-24,88.1,Accelerated
A0265,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,52168,2025-02-06,2026-02-15,93.0,Accelerated
A0266,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,52908,2025-09-15,2025-09-30,88.5,Accelerated
A0267,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44035,2025-08-27,2026-03-18,87.4,Accelerated
A0268,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15464,2025-06-01,2026-02-10,87.4,Normal
A0269,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,17518,2025-02-13,2026-02-12,89.2,Normal
A0270,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,40534,2025-02-04,2026-01-01,88.0,Accelerated
A0271,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,13723,2025-04-30,2026-02-23,90.0,Normal
A0272,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24876,2025-07-14,2025-11-26,89.3,Normal
A0273,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,31076,2025-04-02,2025-12-17,90.6,Moderate
A0274,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,58134,2025-01-18,2025-12-19,86.5,Accelerated
A0275,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,31859,2024-10-28,2025-12-31,91.2,Moderate
A0276,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,32725,2025-04-08,2025-11-16,88.4,Moderate
A0277,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,35679,2024-11-14,2026-01-26,89.8,Moderate
A0278,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,11985,2024-10-26,2025-09-28,86.6,Normal
A0279,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,42881,2025-08-19,2026-01-12,86.7,Accelerated
A0280,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,18637,2025-09-13,2025-12-27,92.4,Normal
A0281,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,31179,2025-01-22,2025-12-31,94.4,Moderate
A0282,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15520,2025-02-04,2026-02-08,90.0,Normal
A0283,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20172,2024-10-30,2025-12-25,93.9,Normal
A0284,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,26201,2025-07-14,2025-12-21,90.3,Moderate
A0285,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,30533,2025-07-21,2026-01-31,86.0,Moderate
A0286,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15541,2025-06-02,2025-11-06,86.2,Normal
A0287,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,50175,2024-10-17,2025-11-11,85.9,Accelerated
A0288,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,38075,2024-10-19,2025-10-07,89.2,Moderate
A0289,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24531,2025-08-09,2025-11-12,85.7,Normal
A0290,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,14335,2025-04-15,2025-11-25,85.5,Normal
A0291,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,16252,2024-10-13,2025-11-02,94.6,Normal
A0292,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,59326,2025-03-14,2025-11-27,93.0,Accelerated
A0293,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,49678,2025-05-06,2025-12-06,91.3,Accelerated
A0294,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,47277,2024-10-14,2025-12-12,92.1,Accelerated
A0295,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,23008,2025-07-14,2026-01-04,92.7,Normal
A0296,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,27682,2025-08-08,2026-03-21,93.8,Moderate
A0297,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,21996,2025-08-15,2025-12-13,89.1,Normal
A0298,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,49397,2025-06-19,2026-02-11,88.8,Accelerated
A0299,"Flow: 786 GPM, Pressure: 232 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,22675,2025-04-10,2025-12-30,86.1,Normal
A0300,"Flow: 533 GPM, Pressure: 182 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,32819,2025-03-28,2026-01-09,92.9,Moderate
A0301,"Flow: 1260 GPM, Pressure: 162 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,31560,2024-11-23,2026-01-23,87.0,Moderate
A0302,"Flow: 1152 GPM, Pressure: 105 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,45852,2025-07-02,2026-02-26,87.0,Accelerated
A0303,"Flow: 1426 GPM, Pressure: 151 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,13465,2025-09-18,2026-03-22,88.7,Normal
A0304,"Flow: 1291 GPM, Pressure: 234 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,53279,2025-04-13,2025-12-04,86.4,Accelerated
A0305,"Flow: 1332 GPM, Pressure: 225 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,54406,2025-04-10,2026-02-14,94.3,Accelerated
A0306,"Suction: 57 PSI, Discharge: 327 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,30391,2025-07-12,2025-11-03,89.3,Moderate
A0307,"Suction: 68 PSI, Discharge: 297 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,42091,2024-12-05,2025-12-30,87.2,Accelerated
A0308,"Suction: 83 PSI, Discharge: 452 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,35108,2025-04-05,2025-10-05,85.0,Moderate
A0309,"Suction: 103 PSI, Discharge: 488 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,21526,2025-08-18,2025-12-06,87.7,Normal
