asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,nerc_cip,ferc_regulated
"ENV-006","Pacific Power","Environmental Controls","Protection Relay","Honeywell","ProtectionRelay-1046","2025-08-01","Current","2025-12-25","Medium","true","false"
"ENV-007","Pacific Power","Environmental Controls","Protection Relay","Siemens","ProtectionRelay-1683","2024-12-06","Current","2025-11-19","Medium","true","false"
"ENV-008","Pacific Power","Environmental Controls","EMS","Schneider","EMS-4433","2025-05-20","Overdue","2025-12-06","Medium","true","false"
"ENV-009","Pacific Power","Environmental Controls","EMS","ABB","EMS-4130","2025-01-06","Current","2026-01-09","Medium","true","false"
"ENV-010","Pacific Power","Environmental Controls","Arc Flash Monitor","ABB","ArcFlashMonitor-9848","2025-05-23","Overdue","2026-01-10","Medium","true","false"
"ENV-011","Pacific Power","Environmental Controls","HMI","Schneider","HMI-9409","2025-08-29","Current","2025-12-16","Medium","true","false"
"ENV-012","Pacific Power","Environmental Controls","EMS","Honeywell","EMS-7452","2024-11-10","Overdue","2026-01-10","Medium","true","false"
"ENV-013","Pacific Power","Environmental Controls","Arc Flash Monitor","GE","ArcFlashMonitor-7867","2025-04-05","Current","2026-01-19","Medium","true","false"
"ENV-015","Pacific Power","Environmental Controls","Grid Controller","Schneider","GridController-2117","2024-12-28","Current","2026-01-03","Medium","true","false"
"ENV-016","Pacific Power","Environmental Controls","RTU","Honeywell","RTU-1381","2025-01-01","Current","2025-11-28","Medium","true","false"
"ENV-017","Pacific Power","Environmental Controls","HMI","ABB","HMI-4056","2025-06-26","Current","2025-11-17","Medium","true","false"
"ENV-018","Pacific Power","Environmental Controls","Environmental Monitor","GE","EnvironmentalMonitor-8812","2024-11-13","Current","2026-01-04","Medium","true","false"
"ENV-019","Pacific Power","Environmental Controls","SCADA","Schneider","SCADA-5665","2025-02-03","Current","2025-12-09","Medium","true","false"
"ENV-020","Pacific Power","Environmental Controls","IED","Siemens","IED-4439","2025-09-13","Overdue","2026-01-01","Medium","true","false"
"ENV-023","Pacific Power","Environmental Controls","Environmental Monitor","Schneider","EnvironmentalMonitor-9586","2025-02-09","Overdue","2025-11-27","Medium","true","false"
"ENV-025","Pacific Power","Environmental Controls","Grid Controller","Honeywell","GridController-6750","2025-10-19","Overdue","2025-12-15","Medium","true","false"
"ENV-028","Pacific Power","Environmental Controls","EMS","GE","EMS-4722","2025-06-09","Current","2025-12-21","Medium","true","false"
"ENV-029","Pacific Power","Environmental Controls","RTU","Schneider","RTU-1823","2025-04-15","Overdue","2025-11-14","Medium","true","false"
"ENV-031","Pacific Power","Environmental Controls","IED","ABB","IED-8026","2025-02-12","Current","2026-01-09","Medium","true","false"
"ENV-032","Pacific Power","Environmental Controls","Environmental Monitor","Honeywell","EnvironmentalMonitor-2438","2025-08-28","Overdue","2026-01-22","Medium","true","false"
"ENV-033","Pacific Power","Environmental Controls","DMS","ABB","DMS-9339","2025-03-20","Current","2025-12-31","Medium","true","false"
"ENV-034","Pacific Power","Environmental Controls","Environmental Monitor","Honeywell","EnvironmentalMonitor-2031","2025-05-18","Overdue","2025-11-05","Medium","true","false"
"ENV-036","Pacific Power","Environmental Controls","DMS","GE","DMS-1025","2025-02-12","Overdue","2025-11-11","Medium","true","false"
"ENV-037","Pacific Power","Environmental Controls","Protection Relay","GE","ProtectionRelay-3043","2025-08-07","Current","2025-11-04","Medium","true","false"
"ENV-038","Pacific Power","Environmental Controls","Grid Controller","GE","GridController-6443","2025-09-18","Current","2025-11-02","Medium","true","false"
"ENV-039","Pacific Power","Environmental Controls","Arc Flash Monitor","Siemens","ArcFlashMonitor-5084","2024-11-04","Current","2025-12-01","Medium","true","false"
"ENV-040","Pacific Power","Environmental Controls","IED","GE","IED-4287","2025-09-15","Current","2025-11-04","Medium","true","false"
"ENV-041","Pacific Power","Environmental Controls","Grid Controller","ABB","GridController-2769","2025-05-18","Overdue","2026-01-09","Medium","true","false"
"ENV-042","Pacific Power","Environmental Controls","Protection Relay","Schneider","ProtectionRelay-3749","2025-08-23","Current","2025-11-27","Medium","true","false"
"ENV-044","Pacific Power","Environmental Controls","IED","ABB","IED-8563","2025-01-11","Current","2025-10-29","Medium","true","false"
"GEN-001","Midwest Electric","Generation Unit","IED","Siemens","IED-3095","2025-09-08","Current","2025-12-05","Critical","true","true"
"GEN-003","Midwest Electric","Generation Unit","Arc Flash Monitor","Siemens","ArcFlashMonitor-6796","2024-11-04","Overdue","2025-12-01","Critical","true","true"
"GEN-004","Midwest Electric","Generation Unit","Environmental Monitor","Schneider","EnvironmentalMonitor-1901","2024-11-03","Overdue","2025-11-18","Critical","true","true"
"GEN-005","Midwest Electric","Generation Unit","DMS","GE","DMS-4237","2025-05-26","Current","2025-11-12","Critical","true","true"
"GEN-006","Midwest Electric","Generation Unit","EMS","GE","EMS-6996","2025-10-08","Current","2025-10-27","Critical","true","true"
"GEN-009","Midwest Electric","Generation Unit","EMS","GE","EMS-8928","2025-09-19","Current","2025-11-27","Critical","true","true"
"GEN-011","Midwest Electric","Generation Unit","IED","ABB","IED-3014","2024-11-27","Overdue","2025-11-19","Critical","true","true"
"GEN-012","Midwest Electric","Generation Unit","Arc Flash Monitor","GE","ArcFlashMonitor-1747","2024-12-23","Overdue","2026-01-21","Critical","true","true"
"GEN-014","Midwest Electric","Generation Unit","Environmental Monitor","Siemens","EnvironmentalMonitor-3513","2025-02-25","Current","2026-01-04","Critical","true","true"
"GEN-015","Midwest Electric","Generation Unit","DMS","Schneider","DMS-4456","2025-03-24","Current","2025-12-03","Critical","true","true"
"GEN-016","Midwest Electric","Generation Unit","DMS","Siemens","DMS-2375","2025-01-17","Current","2025-11-09","Critical","true","true"
"GEN-017","Midwest Electric","Generation Unit","SCADA","GE","SCADA-5474","2024-11-07","Current","2025-12-20","Critical","true","true"
"GEN-018","Midwest Electric","Generation Unit","Grid Controller","Schneider","GridController-5096","2025-05-18","Overdue","2025-12-13","Critical","true","true"
"GEN-019","Midwest Electric","Generation Unit","EMS","Honeywell","EMS-8391","2025-08-26","Overdue","2025-12-08","Critical","true","true"
"GEN-020","Midwest Electric","Generation Unit","SCADA","Honeywell","SCADA-6714","2025-06-12","Current","2025-11-29","Critical","true","true"
"GEN-021","Midwest Electric","Generation Unit","RTU","Honeywell","RTU-9538","2025-10-19","Current","2025-12-16","Critical","true","true"
"GEN-022","Midwest Electric","Generation Unit","Protection Relay","Honeywell","ProtectionRelay-9285","2025-03-25","Current","2025-11-30","Critical","true","true"
"GEN-024","Midwest Electric","Generation Unit","HMI","GE","HMI-8990","2025-03-06","Current","2026-01-20","Critical","true","true"
"GEN-025","Midwest Electric","Generation Unit","Environmental Monitor","ABB","EnvironmentalMonitor-1043","2025-04-11","Overdue","2025-11-20","Critical","true","true"
"GEN-027","Midwest Electric","Generation Unit","Environmental Monitor","ABB","EnvironmentalMonitor-6983","2025-02-15","Current","2025-12-19","Critical","true","true"
"GEN-028","Midwest Electric","Generation Unit","HMI","Honeywell","HMI-5312","2025-09-24","Current","2026-01-11","Critical","true","true"
"GEN-030","Midwest Electric","Generation Unit","Grid Controller","ABB","GridController-8834","2025-02-05","Overdue","2025-11-28","Critical","true","true"
"GEN-031","Midwest Electric","Generation Unit","Environmental Monitor","GE","EnvironmentalMonitor-2435","2025-09-21","Current","2025-10-25","Critical","true","true"
"GEN-032","Midwest Electric","Generation Unit","Arc Flash Monitor","Honeywell","ArcFlashMonitor-7406","2025-01-03","Overdue","2026-01-04","Critical","true","true"
"GEN-033","Midwest Electric","Generation Unit","Protection Relay","Honeywell","ProtectionRelay-7700","2025-08-14","Current","2025-12-20","Critical","true","true"
"GEN-036","Midwest Electric","Generation Unit","EMS","Siemens","EMS-1601","2025-01-28","Current","2026-01-02","Critical","true","true"
"GEN-037","Midwest Electric","Generation Unit","DMS","Schneider","DMS-9274","2025-08-23","Current","2025-12-01","Critical","true","true"
"GEN-039","Midwest Electric","Generation Unit","IED","Schneider","IED-9865","2025-10-16","Current","2026-01-09","Critical","true","true"
"GEN-040","Midwest Electric","Generation Unit","Protection Relay","ABB","ProtectionRelay-5533","2024-11-27","Current","2025-11-16","Critical","true","true"
"GEN-041","Midwest Electric","Generation Unit","SCADA","ABB","SCADA-8915","2025-04-18","Current","2025-10-31","Critical","true","true"
"GEN-042","Midwest Electric","Generation Unit","Grid Controller","GE","GridController-1370","2025-05-15","Current","2025-10-31","Critical","true","true"
"GEN-043","Midwest Electric","Generation Unit","Environmental Monitor","GE","EnvironmentalMonitor-3714","2025-01-15","Current","2025-12-31","Critical","true","true"
"GEN-044","Midwest Electric","Generation Unit","Grid Controller","ABB","GridController-9241","2025-03-12","Current","2025-12-26","Critical","true","true"
"GEN-045","Midwest Electric","Generation Unit","Environmental Monitor","Schneider","EnvironmentalMonitor-9289","2025-09-01","Current","2026-01-07","Critical","true","true"
"GEN-046","Midwest Electric","Generation Unit","Arc Flash Monitor","ABB","ArcFlashMonitor-1460","2025-04-18","Overdue","2025-12-31","Critical","true","true"
"GEN-047","Midwest Electric","Generation Unit","Arc Flash Monitor","Siemens","ArcFlashMonitor-6068","2025-03-17","Current","2025-11-07","Critical","true","true"
"GEN-048","Midwest Electric","Generation Unit","IED","GE","IED-6526","2025-08-17","Current","2025-11-13","Critical","true","true"
"GEN-049","Midwest Electric","Generation Unit","DMS","GE","DMS-6209","2025-05-17","Current","2025-11-14","Critical","true","true"
"GEN-051","Midwest Electric","Generation Unit","SCADA","GE","SCADA-8673","2024-12-26","Current","2025-12-13","Critical","true","true"
"GEN-052","Midwest Electric","Generation Unit","RTU","ABB","RTU-7269","2024-11-26","Current","2025-11-03","Critical","true","true"
"GEN-054","Midwest Electric","Generation Unit","HMI","ABB","HMI-5135","2024-12-21","Current","2025-10-27","Critical","true","true"
"GEN-055","Midwest Electric","Generation Unit","SCADA","Siemens","SCADA-7468","2025-02-09","Current","2025-12-24","Critical","true","true"
"GEN-056","Midwest Electric","Generation Unit","Environmental Monitor","GE","EnvironmentalMonitor-2946","2024-11-16","Current","2025-12-15","Critical","true","true"
"GEN-057","Midwest Electric","Generation Unit","IED","Schneider","IED-7506","2024-11-10","Current","2025-10-28","Critical","true","true"
"GEN-058","Midwest Electric","Generation Unit","IED","Schneider","IED-2515","2025-05-11","Current","2026-01-03","Critical","true","true"
"GEN-059","Midwest Electric","Generation Unit","Arc Flash Monitor","Honeywell","ArcFlashMonitor-1405","2024-12-31","Current","2025-11-25","Critical","true","true"
"GEN-060","Midwest Electric","Generation Unit","IED","GE","IED-3654","2025-06-24","Current","2026-01-04","Critical","true","true"
"GEN-061","Midwest Electric","Generation Unit","Grid Controller","GE","GridController-8071","2025-07-25","Current","2025-11-07","Critical","true","true"
"GEN-062","Midwest Electric","Generation Unit","Arc Flash Monitor","ABB","ArcFlashMonitor-7369","2025-01-24","Current","2025-11-19","Critical","true","true"
"GEN-063","Midwest Electric","Generation Unit","EMS","ABB","EMS-3780","2025-09-24","Current","2025-10-30","Critical","true","true"
"GEN-064","Midwest Electric","Generation Unit","EMS","Siemens","EMS-3526","2025-08-26","Current","2025-12-18","Critical","true","true"
"GEN-065","Midwest Electric","Generation Unit","Arc Flash Monitor","ABB","ArcFlashMonitor-3996","2025-03-19","Current","2025-11-13","Critical","true","true"
"GEN-066","Midwest Electric","Generation Unit","HMI","ABB","HMI-1119","2024-11-06","Current","2025-12-09","Critical","true","true"
"GEN-067","Midwest Electric","Generation Unit","SCADA","ABB","SCADA-7705","2025-02-05","Current","2025-11-24","Critical","true","true"
"GEN-068","Midwest Electric","Generation Unit","EMS","GE","EMS-1687","2025-06-06","Overdue","2026-01-01","Critical","true","true"
"GEN-070","Midwest Electric","Generation Unit","RTU","Siemens","RTU-5561","2025-05-17","Current","2025-11-15","Critical","true","true"
"GEN-071","Midwest Electric","Generation Unit","DMS","Siemens","DMS-4122","2025-09-15","Current","2025-10-26","Critical","true","true"
"GEN-072","Midwest Electric","Generation Unit","SCADA","Siemens","SCADA-9541","2025-08-14","Overdue","2025-11-09","Critical","true","true"
"GEN-073","Midwest Electric","Generation Unit","Arc Flash Monitor","Siemens","ArcFlashMonitor-3783","2025-04-23","Current","2025-12-04","Critical","true","true"
"GEN-074","Midwest Electric","Generation Unit","SCADA","Schneider","SCADA-4254","2025-03-31","Overdue","2025-11-15","Critical","true","true"
"GEN-075","Midwest Electric","Generation Unit","Arc Flash Monitor","Honeywell","ArcFlashMonitor-8445","2025-08-03","Current","2025-12-15","Critical","true","true"
"GEN-077","Midwest Electric","Generation Unit","SCADA","Siemens","SCADA-3262","2025-10-21","Current","2026-01-22","Critical","true","true"
"TRA-001","Midwest Electric","Transmission","IED","ABB","IED-1980","2025-05-02","Current","2025-12-04","Critical","true","true"
"TRA-002","Midwest Electric","Transmission","IED","GE","IED-4830","2025-04-29","Overdue","2026-01-20","Critical","true","true"
"TRA-003","Midwest Electric","Transmission","Protection Relay","GE","ProtectionRelay-8327","2025-01-22","Current","2025-10-31","Critical","true","true"
"TRA-005","Midwest Electric","Transmission","DMS","ABB","DMS-1886","2025-09-20","Current","2025-11-02","Critical","true","true"
"TRA-007","Midwest Electric","Transmission","DMS","Siemens","DMS-8361","2025-02-24","Current","2026-01-17","Critical","true","true"
"TRA-008","Midwest Electric","Transmission","Grid Controller","Schneider","GridController-7554","2025-01-19","Current","2025-12-09","Critical","true","true"
"TRA-009","Midwest Electric","Transmission","HMI","GE","HMI-7070","2025-10-24","Current","2026-01-08","Critical","true","true"
"TRA-010","Midwest Electric","Transmission","IED","GE","IED-3860","2025-01-04","Current","2025-11-18","Critical","true","true"
"TRA-012","Midwest Electric","Transmission","DMS","Honeywell","DMS-7308","2025-06-29","Overdue","2026-01-20","Critical","true","true"
"TRA-014","Midwest Electric","Transmission","EMS","Schneider","EMS-1570","2025-08-09","Current","2026-01-20","Critical","true","true"
"TRA-015","Midwest Electric","Transmission","RTU","Siemens","RTU-1727","2025-06-10","Overdue","2025-12-29","Critical","true","true"
"TRA-016","Midwest Electric","Transmission","DMS","Siemens","DMS-2646","2025-06-09","Overdue","2025-12-11","Critical","true","true"
"TRA-017","Midwest Electric","Transmission","IED","Schneider","IED-6541","2025-08-14","Current","2025-12-03","Critical","true","true"
"TRA-018","Midwest Electric","Transmission","RTU","Honeywell","RTU-2552","2025-03-01","Overdue","2025-11-18","Critical","true","true"
"TRA-020","Midwest Electric","Transmission","Arc Flash Monitor","GE","ArcFlashMonitor-7300","2025-08-02","Current","2026-01-21","Critical","true","true"
"TRA-021","Midwest Electric","Transmission","Grid Controller","ABB","GridController-9192","2025-03-28","Current","2026-01-17","Critical","true","true"
"TRA-022","Midwest Electric","Transmission","HMI","ABB","HMI-5097","2025-10-05","Current","2025-12-13","Critical","true","true"
"TRA-023","Midwest Electric","Transmission","RTU","Honeywell","RTU-3092","2025-09-23","Current","2025-11-01","Critical","true","true"
"TRA-024","Midwest Electric","Transmission","HMI","GE","HMI-7137","2024-11-12","Current","2025-12-02","Critical","true","true"
"TRA-025","Midwest Electric","Transmission","Grid Controller","Honeywell","GridController-7066","2025-05-22","Overdue","2025-10-25","Critical","true","true"
"TRA-026","Midwest Electric","Transmission","EMS","ABB","EMS-4990","2025-07-30","Current","2025-12-13","Critical","true","true"
"TRA-027","Midwest Electric","Transmission","HMI","Siemens","HMI-7097","2024-12-27","Current","2025-12-19","Critical","true","true"
"TRA-028","Midwest Electric","Transmission","Grid Controller","Siemens","GridController-9922","2025-06-30","Overdue","2025-12-21","Critical","true","true"
"TRA-029","Midwest Electric","Transmission","DMS","Schneider","DMS-5484","2025-10-13","Current","2025-12-03","Critical","true","true"
"TRA-030","Midwest Electric","Transmission","Grid Controller","GE","GridController-9772","2024-11-07","Current","2025-11-06","Critical","true","true"
"TRA-031","Midwest Electric","Transmission","Arc Flash Monitor","Schneider","ArcFlashMonitor-3299","2024-10-29","Overdue","2025-11-30","Critical","true","true"
"TRA-032","Midwest Electric","Transmission","Protection Relay","Honeywell","ProtectionRelay-2935","2025-03-12","Overdue","2025-11-19","Critical","true","true"
"TRA-034","Midwest Electric","Transmission","DMS","ABB","DMS-9630","2024-12-07","Current","2025-12-21","Critical","true","true"
"TRA-035","Midwest Electric","Transmission","DMS","Siemens","DMS-8399","2025-07-25","Overdue","2025-10-29","Critical","true","true"
"TRA-036","Midwest Electric","Transmission","IED","GE","IED-4085","2024-10-30","Current","2025-11-08","Critical","true","true"
"TRA-037","Midwest Electric","Transmission","HMI","Honeywell","HMI-2976","2025-10-19","Current","2025-12-14","Critical","true","true"
"TRA-039","Midwest Electric","Transmission","Grid Controller","Siemens","GridController-7363","2025-04-13","Current","2025-12-29","Critical","true","true"
"TRA-040","Midwest Electric","Transmission","DMS","GE","DMS-5360","2025-10-10","Overdue","2025-11-11","Critical","true","true"
"TRA-042","Midwest Electric","Transmission","Arc Flash Monitor","GE","ArcFlashMonitor-4795","2025-10-10","Overdue","2026-01-19","Critical","true","true"
"TRA-043","Midwest Electric","Transmission","DMS","Honeywell","DMS-9429","2025-09-26","Overdue","2025-11-24","Critical","true","true"
"TRA-044","Midwest Electric","Transmission","Environmental Monitor","Schneider","EnvironmentalMonitor-1722","2025-08-17","Current","2025-12-23","Critical","true","true"
"TRA-048","Midwest Electric","Transmission","RTU","Honeywell","RTU-2701","2025-01-20","Overdue","2025-12-04","Critical","true","true"
"TRA-049","Midwest Electric","Transmission","Arc Flash Monitor","Schneider","ArcFlashMonitor-1044","2025-08-24","Overdue","2025-12-04","Critical","true","true"
"TRA-050","Midwest Electric","Transmission","HMI","Schneider","HMI-2346","2025-04-26","Current","2026-01-08","Critical","true","true"
"TRA-051","Midwest Electric","Transmission","IED","GE","IED-7823","2024-11-23","Current","2026-01-01","Critical","true","true"
"TRA-053","Midwest Electric","Transmission","Grid Controller","GE","GridController-5472","2024-10-31","Current","2025-12-16","Critical","true","true"
"DIS-001","Midwest Electric","Distribution","SCADA","Schneider","SCADA-5328","2025-03-16","Current","2025-12-29","High","true","true"
"DIS-002","Midwest Electric","Distribution","EMS","GE","EMS-5207","2025-06-03","Overdue","2025-12-11","High","true","true"
"DIS-003","Midwest Electric","Distribution","Protection Relay","Siemens","ProtectionRelay-8512","2025-02-21","Current","2026-01-03","High","true","true"
"DIS-005","Midwest Electric","Distribution","EMS","Honeywell","EMS-2591","2025-05-01","Current","2025-11-16","High","true","true"
"DIS-006","Midwest Electric","Distribution","Environmental Monitor","GE","EnvironmentalMonitor-3024","2025-03-13","Current","2026-01-10","High","true","true"
"DIS-007","Midwest Electric","Distribution","Environmental Monitor","Schneider","EnvironmentalMonitor-8301","2025-07-21","Overdue","2025-11-15","High","true","true"
"DIS-008","Midwest Electric","Distribution","RTU","ABB","RTU-4274","2024-11-14","Current","2025-11-10","High","true","true"
"DIS-009","Midwest Electric","Distribution","IED","Siemens","IED-8904","2025-01-12","Current","2026-01-04","High","true","true"
"DIS-010","Midwest Electric","Distribution","RTU","Siemens","RTU-7805","2025-03-10","Current","2025-11-20","High","true","true"
"DIS-012","Midwest Electric","Distribution","RTU","GE","RTU-9641","2025-03-05","Current","2025-12-15","High","true","true"
"DIS-013","Midwest Electric","Distribution","Grid Controller","Schneider","GridController-8923","2025-06-16","Current","2025-12-11","High","true","true"
"DIS-014","Midwest Electric","Distribution","Protection Relay","Siemens","ProtectionRelay-2944","2025-07-01","Current","2026-01-07","High","true","true"
"DIS-015","Midwest Electric","Distribution","RTU","Siemens","RTU-7137","2025-04-22","Current","2025-10-26","High","true","true"
"DIS-016","Midwest Electric","Distribution","EMS","Siemens","EMS-7147","2025-06-05","Current","2025-10-30","High","true","true"
"DIS-018","Midwest Electric","Distribution","Grid Controller","ABB","GridController-7829","2025-01-13","Current","2025-12-31","High","true","true"
"DIS-019","Midwest Electric","Distribution","HMI","Siemens","HMI-2933","2025-01-05","Current","2026-01-02","High","true","true"
"DIS-020","Midwest Electric","Distribution","Environmental Monitor","ABB","EnvironmentalMonitor-6710","2025-08-05","Current","2025-12-02","High","true","true"
"DIS-022","Midwest Electric","Distribution","DMS","Schneider","DMS-3845","2025-09-26","Current","2025-12-29","High","true","true"
"DIS-023","Midwest Electric","Distribution","SCADA","Schneider","SCADA-2477","2025-01-09","Overdue","2025-11-24","High","true","true"
"DIS-024","Midwest Electric","Distribution","Arc Flash Monitor","GE","ArcFlashMonitor-5730","2025-08-21","Current","2025-12-27","High","true","true"
"DIS-025","Midwest Electric","Distribution","IED","Schneider","IED-4513","2025-10-08","Current","2026-01-13","High","true","true"
"DIS-026","Midwest Electric","Distribution","SCADA","Schneider","SCADA-6228","2024-11-26","Overdue","2025-12-22","High","true","true"
"DIS-029","Midwest Electric","Distribution","Grid Controller","Siemens","GridController-1061","2025-06-10","Current","2026-01-04","High","true","true"
"DIS-030","Midwest Electric","Distribution","IED","Schneider","IED-3777","2025-08-30","Current","2026-01-19","High","true","true"
"DIS-032","Midwest Electric","Distribution","Grid Controller","Siemens","GridController-2653","2025-06-14","Current","2025-11-28","High","true","true"
"DIS-033","Midwest Electric","Distribution","HMI","Siemens","HMI-4701","2024-12-17","Overdue","2026-01-13","High","true","true"
"DIS-034","Midwest Electric","Distribution","Arc Flash Monitor","Honeywell","ArcFlashMonitor-5274","2025-01-24","Current","2025-11-06","High","true","true"
"DIS-036","Midwest Electric","Distribution","RTU","Schneider","RTU-2902","2025-01-26","Current","2026-01-10","High","true","true"
"DIS-037","Midwest Electric","Distribution","Arc Flash Monitor","Siemens","ArcFlashMonitor-3100","2025-05-30","Overdue","2025-12-17","High","true","true"
"DIS-038","Midwest Electric","Distribution","DMS","GE","DMS-4355","2025-04-16","Current","2026-01-11","High","true","true"
"DIS-040","Midwest Electric","Distribution","Grid Controller","Honeywell","GridController-7168","2025-03-17","Overdue","2025-11-18","High","true","true"
"DIS-043","Midwest Electric","Distribution","Grid Controller","ABB","GridController-3459","2025-06-19","Current","2026-01-05","High","true","true"
"DIS-044","Midwest Electric","Distribution","RTU","Honeywell","RTU-3355","2025-09-11","Current","2025-11-03","High","true","true"
"DIS-045","Midwest Electric","Distribution","Grid Controller","Honeywell","GridController-1704","2025-09-22","Current","2025-11-13","High","true","true"
"DIS-046","Midwest Electric","Distribution","EMS","Schneider","EMS-5047","2025-07-24","Overdue","2025-11-21","High","true","true"
"DIS-047","Midwest Electric","Distribution","RTU","ABB","RTU-1351","2025-10-22","Current","2025-11-16","High","true","true"
"CON-001","Midwest Electric","Control Center","DMS","GE","DMS-5625","2025-04-16","Overdue","2025-12-21","Critical","true","true"
"CON-002","Midwest Electric","Control Center","SCADA","GE","SCADA-5323","2025-05-02","Overdue","2025-10-31","Critical","true","true"
"CON-003","Midwest Electric","Control Center","RTU","GE","RTU-6555","2025-09-02","Overdue","2025-11-29","Critical","true","true"
"CON-004","Midwest Electric","Control Center","Environmental Monitor","Schneider","EnvironmentalMonitor-6688","2025-04-01","Current","2025-12-07","Critical","true","true"
"CON-006","Midwest Electric","Control Center","Protection Relay","Schneider","ProtectionRelay-9348","2025-01-08","Current","2025-12-20","Critical","true","true"
"CON-008","Midwest Electric","Control Center","EMS","GE","EMS-2177","2025-05-07","Current","2026-01-08","Critical","true","true"
"CON-009","Midwest Electric","Control Center","EMS","Siemens","EMS-4020","2024-11-21","Current","2026-01-08","Critical","true","true"
"CON-011","Midwest Electric","Control Center","Protection Relay","Schneider","ProtectionRelay-7944","2025-04-15","Current","2025-12-15","Critical","true","true"
"CON-012","Midwest Electric","Control Center","Environmental Monitor","ABB","EnvironmentalMonitor-2658","2025-02-17","Overdue","2025-11-19","Critical","true","true"
"CON-013","Midwest Electric","Control Center","DMS","Honeywell","DMS-8044","2025-03-22","Current","2025-11-27","Critical","true","true"
"CON-014","Midwest Electric","Control Center","EMS","Siemens","EMS-3619","2025-06-21","Overdue","2025-12-20","Critical","true","true"
"CON-015","Midwest Electric","Control Center","IED","GE","IED-2840","2025-07-16","Current","2025-11-13","Critical","true","true"
"CON-016","Midwest Electric","Control Center","IED","ABB","IED-3511","2025-01-07","Current","2025-12-03","Critical","true","true"
"CON-017","Midwest Electric","Control Center","Protection Relay","ABB","ProtectionRelay-4457","2025-05-03","Current","2025-11-05","Critical","true","true"
"CON-018","Midwest Electric","Control Center","IED","Schneider","IED-9317","2025-06-21","Current","2025-12-23","Critical","true","true"
"CON-019","Midwest Electric","Control Center","EMS","Siemens","EMS-5158","2025-04-13","Current","2026-01-16","Critical","true","true"
"CON-020","Midwest Electric","Control Center","DMS","GE","DMS-1695","2025-10-07","Current","2025-12-17","Critical","true","true"
"CON-022","Midwest Electric","Control Center","Protection Relay","ABB","ProtectionRelay-4951","2025-02-07","Current","2026-01-07","Critical","true","true"
"CON-023","Midwest Electric","Control Center","EMS","ABB","EMS-5798","2025-04-06","Overdue","2025-12-06","Critical","true","true"
"CON-024","Midwest Electric","Control Center","Arc Flash Monitor","Schneider","ArcFlashMonitor-8964","2025-03-28","Current","2026-01-09","Critical","true","true"
"CON-027","Midwest Electric","Control Center","DMS","Schneider","DMS-5232","2024-11-28","Current","2025-11-27","Critical","true","true"
"CON-029","Midwest Electric","Control Center","Grid Controller","Siemens","GridController-8646","2025-03-10","Current","2025-12-02","Critical","true","true"
"CON-030","Midwest Electric","Control Center","SCADA","Siemens","SCADA-9850","2025-04-04","Current","2025-11-22","Critical","true","true"
"CON-033","Midwest Electric","Control Center","Arc Flash Monitor","Schneider","ArcFlashMonitor-5679","2025-02-08","Current","2026-01-03","Critical","true","true"
"CON-034","Midwest Electric","Control Center","Protection Relay","GE","ProtectionRelay-9689","2024-11-09","Current","2025-10-26","Critical","true","true"
"SUB-001","Midwest Electric","Substation","RTU","ABB","RTU-2916","2025-03-04","Current","2025-10-25","High","true","true"
"SUB-002","Midwest Electric","Substation","EMS","Schneider","EMS-5714","2025-05-02","Overdue","2025-11-24","High","true","true"
"SUB-003","Midwest Electric","Substation","Grid Controller","Siemens","GridController-3282","2025-09-04","Current","2025-12-11","High","true","true"
"SUB-004","Midwest Electric","Substation","DMS","Schneider","DMS-4355","2025-09-11","Current","2025-10-30","High","true","true"
"SUB-005","Midwest Electric","Substation","DMS","Schneider","DMS-4349","2025-07-20","Current","2026-01-04","High","true","true"
"SUB-006","Midwest Electric","Substation","Protection Relay","ABB","ProtectionRelay-7524","2025-06-02","Current","2025-11-12","High","true","true"
"SUB-007","Midwest Electric","Substation","RTU","Schneider","RTU-8616","2024-12-20","Current","2025-11-09","High","true","true"
"SUB-008","Midwest Electric","Substation","DMS","ABB","DMS-1800","2025-08-21","Overdue","2026-01-10","High","true","true"
"SUB-009","Midwest Electric","Substation","DMS","Schneider","DMS-7399","2024-10-27","Overdue","2025-11-15","High","true","true"
"SUB-010","Midwest Electric","Substation","HMI","ABB","HMI-1810","2025-03-25","Overdue","2025-11-11","High","true","true"
"SUB-011","Midwest Electric","Substation","HMI","Siemens","HMI-7852","2025-08-10","Current","2026-01-17","High","true","true"
"SUB-012","Midwest Electric","Substation","HMI","Schneider","HMI-2093","2025-07-31","Overdue","2025-11-24","High","true","true"
"SUB-013","Midwest Electric","Substation","HMI","Siemens","HMI-3806","2025-04-12","Overdue","2025-11-04","High","true","true"
"SUB-014","Midwest Electric","Substation","RTU","Honeywell","RTU-6701","2024-12-29","Current","2025-11-05","High","true","true"
"SUB-015","Midwest Electric","Substation","DMS","Schneider","DMS-4690","2024-12-14","Current","2025-12-13","High","true","true"
"SUB-016","Midwest Electric","Substation","IED","Honeywell","IED-7154","2025-08-25","Overdue","2026-01-20","High","true","true"
"SUB-017","Midwest Electric","Substation","Protection Relay","GE","ProtectionRelay-6614","2024-12-29","Current","2025-12-12","High","true","true"
"SUB-019","Midwest Electric","Substation","EMS","Honeywell","EMS-9258","2025-08-17","Current","2025-11-01","High","true","true"
