tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"UTI-0150","Boston Pharma","Utilities","PLC","High","Honeywell","PLC-8832","Utilities - Station 25","PLC for Utilities operations","2024-05-03","192.168.117.209","OPC UA"
"UTI-0151","Boston Pharma","Utilities","PLC","Low","Emerson","PLC-7991","Utilities - Station 26","PLC for Utilities operations","2021-06-29","192.168.167.10","Profinet"
"UTI-0152","Boston Pharma","Utilities","Safety PLC","Medium","Siemens","SafetyPLC-2726","Utilities - Station 27","Safety PLC for Utilities operations","2023-08-07","192.168.91.158","Ethernet/IP"
"UTI-0153","Boston Pharma","Utilities","HMI","Low","Rockwell","HMI-7232","Utilities - Station 28","HMI for Utilities operations","2022-11-04","192.168.244.123","OPC UA"
"UTI-0154","Boston Pharma","Utilities","Temperature Controller","High","Siemens","TemperatureController-9958","Utilities - Station 29","Temperature Controller for Utilities operations","2022-08-31","192.168.70.130","DNP3"
"UTI-0155","Boston Pharma","Utilities","Temperature Controller","Low","Honeywell","TemperatureController-1298","Utilities - Station 30","Temperature Controller for Utilities operations","2023-05-27","192.168.197.147","Ethernet/IP"
"UTI-0156","Boston Pharma","Utilities","SCADA","Low","Schneider","SCADA-9894","Utilities - Station 31","SCADA for Utilities operations","2021-03-15","192.168.113.151","Modbus TCP"
"UTI-0157","Boston Pharma","Utilities","MES","High","Emerson","MES-3575","Utilities - Station 32","MES for Utilities operations","2023-01-20","192.168.71.156","DNP3"
"UTI-0158","Boston Pharma","Utilities","Serialization System","Medium","Emerson","SerializationSystem-6490","Utilities - Station 33","Serialization System for Utilities operations","2021-07-03","192.168.246.4","OPC UA"
"UTI-0159","Boston Pharma","Utilities","MES","Critical","Emerson","MES-4467","Utilities - Station 34","MES for Utilities operations","2025-05-30","192.168.183.200","Profinet"
"UTI-0160","Boston Pharma","Utilities","Batch Controller","Critical","Honeywell","BatchController-6759","Utilities - Station 35","Batch Controller for Utilities operations","2023-08-04","192.168.209.29","OPC UA"
"UTI-0161","Boston Pharma","Utilities","HMI","Low","Siemens","HMI-6954","Utilities - Station 36","HMI for Utilities operations","2023-03-14","192.168.242.24","Modbus TCP"
"UTI-0162","Boston Pharma","Utilities","LIMS","Critical","Siemens","LIMS-7356","Utilities - Station 37","LIMS for Utilities operations","2024-06-22","192.168.201.212","DNP3"
"UTI-0163","Boston Pharma","Utilities","Environmental Monitor","Critical","Rockwell","EnvironmentalMonitor-7556","Utilities - Station 38","Environmental Monitor for Utilities operations","2024-10-11","192.168.11.178","Profinet"
"UTI-0164","Boston Pharma","Utilities","Environmental Monitor","Medium","Rockwell","EnvironmentalMonitor-9389","Utilities - Station 39","Environmental Monitor for Utilities operations","2021-02-20","192.168.202.235","DNP3"
"UTI-0165","Boston Pharma","Utilities","Serialization System","Low","Emerson","SerializationSystem-8228","Utilities - Station 40","Serialization System for Utilities operations","2022-05-06","192.168.252.21","Ethernet/IP"
"UTI-0166","Boston Pharma","Utilities","PLC","Critical","Honeywell","PLC-1926","Utilities - Station 41","PLC for Utilities operations","2022-10-13","192.168.155.82","Modbus TCP"
"UTI-0167","Boston Pharma","Utilities","Serialization System","Medium","Schneider","SerializationSystem-1697","Utilities - Station 42","Serialization System for Utilities operations","2023-12-20","192.168.82.71","OPC UA"
"UTI-0168","Boston Pharma","Utilities","HMI","Low","Emerson","HMI-2336","Utilities - Station 43","HMI for Utilities operations","2023-02-13","192.168.61.23","Modbus TCP"
"API-0169","San Diego Biotech","API Manufacturing","Batch Controller","High","Emerson","BatchController-5615","API Manufacturing - Station 1","Batch Controller for API Manufacturing operations","2024-02-28","192.168.46.179","Ethernet/IP"
"API-0170","San Diego Biotech","API Manufacturing","HMI","Critical","Siemens","HMI-1427","API Manufacturing - Station 2","HMI for API Manufacturing operations","2024-07-15","192.168.88.8","Ethernet/IP"
"API-0171","San Diego Biotech","API Manufacturing","Batch Controller","Low","Emerson","BatchController-9850","API Manufacturing - Station 3","Batch Controller for API Manufacturing operations","2025-07-10","192.168.56.116","DNP3"
"API-0172","San Diego Biotech","API Manufacturing","HMI","Low","Schneider","HMI-1725","API Manufacturing - Station 4","HMI for API Manufacturing operations","2023-03-04","192.168.75.162","DNP3"
"API-0173","San Diego Biotech","API Manufacturing","HMI","Low","Rockwell","HMI-1698","API Manufacturing - Station 5","HMI for API Manufacturing operations","2021-02-06","192.168.217.69","OPC UA"
"API-0174","San Diego Biotech","API Manufacturing","Safety PLC","Critical","Schneider","SafetyPLC-4918","API Manufacturing - Station 6","Safety PLC for API Manufacturing operations","2022-07-27","192.168.142.218","DNP3"
"API-0175","San Diego Biotech","API Manufacturing","LIMS","Medium","Rockwell","LIMS-4302","API Manufacturing - Station 7","LIMS for API Manufacturing operations","2024-12-19","192.168.69.136","Ethernet/IP"
"API-0176","San Diego Biotech","API Manufacturing","Temperature Controller","Critical","Siemens","TemperatureController-1785","API Manufacturing - Station 8","Temperature Controller for API Manufacturing operations","2023-09-25","192.168.2.85","Modbus TCP"
"API-0177","San Diego Biotech","API Manufacturing","Safety PLC","High","Schneider","SafetyPLC-7892","API Manufacturing - Station 9","Safety PLC for API Manufacturing operations","2023-08-18","192.168.199.17","Ethernet/IP"
"API-0178","San Diego Biotech","API Manufacturing","Safety PLC","Medium","Rockwell","SafetyPLC-2775","API Manufacturing - Station 10","Safety PLC for API Manufacturing operations","2022-01-12","192.168.252.22","OPC UA"
"API-0179","San Diego Biotech","API Manufacturing","Safety PLC","High","Schneider","SafetyPLC-3679","API Manufacturing - Station 11","Safety PLC for API Manufacturing operations","2022-09-20","192.168.181.105","DNP3"
"API-0180","San Diego Biotech","API Manufacturing","HMI","Low","Emerson","HMI-2229","API Manufacturing - Station 12","HMI for API Manufacturing operations","2024-08-17","192.168.181.197","OPC UA"
"API-0181","San Diego Biotech","API Manufacturing","SCADA","Medium","Emerson","SCADA-7962","API Manufacturing - Station 13","SCADA for API Manufacturing operations","2025-07-05","192.168.118.190","Modbus TCP"
"API-0182","San Diego Biotech","API Manufacturing","Temperature Controller","High","Rockwell","TemperatureController-6491","API Manufacturing - Station 14","Temperature Controller for API Manufacturing operations","2024-06-19","192.168.110.11","Ethernet/IP"
"API-0183","San Diego Biotech","API Manufacturing","Temperature Controller","High","Emerson","TemperatureController-2070","API Manufacturing - Station 15","Temperature Controller for API Manufacturing operations","2025-01-24","192.168.185.221","Profinet"
"API-0184","San Diego Biotech","API Manufacturing","SCADA","Critical","ABB","SCADA-6210","API Manufacturing - Station 16","SCADA for API Manufacturing operations","2024-06-28","192.168.45.145","DNP3"
"API-0185","San Diego Biotech","API Manufacturing","PLC","High","Rockwell","PLC-5699","API Manufacturing - Station 17","PLC for API Manufacturing operations","2023-10-03","192.168.44.10","Ethernet/IP"
"API-0186","San Diego Biotech","API Manufacturing","SCADA","Medium","Emerson","SCADA-1358","API Manufacturing - Station 18","SCADA for API Manufacturing operations","2023-06-29","192.168.101.223","Ethernet/IP"
"API-0187","San Diego Biotech","API Manufacturing","LIMS","Medium","Rockwell","LIMS-8061","API Manufacturing - Station 19","LIMS for API Manufacturing operations","2025-09-06","192.168.66.234","Modbus TCP"
"API-0188","San Diego Biotech","API Manufacturing","Safety PLC","Medium","Siemens","SafetyPLC-9315","API Manufacturing - Station 20","Safety PLC for API Manufacturing operations","2022-08-10","192.168.123.46","Modbus TCP"
"API-0189","San Diego Biotech","API Manufacturing","SCADA","Low","Emerson","SCADA-5376","API Manufacturing - Station 21","SCADA for API Manufacturing operations","2025-08-08","192.168.29.156","Modbus TCP"
"API-0190","San Diego Biotech","API Manufacturing","Serialization System","High","Rockwell","SerializationSystem-4776","API Manufacturing - Station 22","Serialization System for API Manufacturing operations","2024-03-26","192.168.71.56","Modbus TCP"
"API-0191","San Diego Biotech","API Manufacturing","HMI","Low","Honeywell","HMI-8424","API Manufacturing - Station 23","HMI for API Manufacturing operations","2025-09-20","192.168.91.33","Ethernet/IP"
"API-0192","San Diego Biotech","API Manufacturing","Serialization System","Low","Rockwell","SerializationSystem-1498","API Manufacturing - Station 24","Serialization System for API Manufacturing operations","2022-08-03","192.168.142.216","Modbus TCP"
"API-0193","San Diego Biotech","API Manufacturing","PLC","Medium","ABB","PLC-5914","API Manufacturing - Station 25","PLC for API Manufacturing operations","2023-02-06","192.168.160.184","OPC UA"
"API-0194","San Diego Biotech","API Manufacturing","PLC","Critical","Emerson","PLC-1270","API Manufacturing - Station 26","PLC for API Manufacturing operations","2023-05-09","192.168.134.82","OPC UA"
"API-0195","San Diego Biotech","API Manufacturing","LIMS","High","Schneider","LIMS-3018","API Manufacturing - Station 27","LIMS for API Manufacturing operations","2022-11-18","192.168.159.144","OPC UA"
"API-0196","San Diego Biotech","API Manufacturing","Environmental Monitor","High","Emerson","EnvironmentalMonitor-2579","API Manufacturing - Station 28","Environmental Monitor for API Manufacturing operations","2024-08-21","192.168.51.85","Modbus TCP"
"API-0197","San Diego Biotech","API Manufacturing","Batch Controller","Medium","Schneider","BatchController-7010","API Manufacturing - Station 29","Batch Controller for API Manufacturing operations","2024-06-14","192.168.15.37","DNP3"
"API-0198","San Diego Biotech","API Manufacturing","SCADA","Critical","Rockwell","SCADA-3308","API Manufacturing - Station 30","SCADA for API Manufacturing operations","2025-01-09","192.168.60.43","OPC UA"
"API-0199","San Diego Biotech","API Manufacturing","Batch Controller","Critical","Rockwell","BatchController-7150","API Manufacturing - Station 31","Batch Controller for API Manufacturing operations","2022-11-13","192.168.224.119","Ethernet/IP"
"FOR-0200","San Diego Biotech","Formulation","Temperature Controller","Critical","Honeywell","TemperatureController-5632","Formulation - Station 1","Temperature Controller for Formulation operations","2020-11-12","192.168.90.224","DNP3"
"FOR-0201","San Diego Biotech","Formulation","Temperature Controller","Low","Emerson","TemperatureController-4791","Formulation - Station 2","Temperature Controller for Formulation operations","2022-09-04","192.168.7.196","Modbus TCP"
"FOR-0202","San Diego Biotech","Formulation","Environmental Monitor","Critical","Emerson","EnvironmentalMonitor-8120","Formulation - Station 3","Environmental Monitor for Formulation operations","2025-02-01","192.168.184.248","Profinet"
"FOR-0203","San Diego Biotech","Formulation","Safety PLC","Low","Schneider","SafetyPLC-3964","Formulation - Station 4","Safety PLC for Formulation operations","2021-05-06","192.168.188.78","OPC UA"
"FOR-0204","San Diego Biotech","Formulation","Safety PLC","High","Rockwell","SafetyPLC-1849","Formulation - Station 5","Safety PLC for Formulation operations","2021-04-13","192.168.241.218","OPC UA"
"FOR-0205","San Diego Biotech","Formulation","HMI","High","Schneider","HMI-3624","Formulation - Station 6","HMI for Formulation operations","2024-12-26","192.168.139.36","DNP3"
"FOR-0206","San Diego Biotech","Formulation","Safety PLC","Medium","ABB","SafetyPLC-1818","Formulation - Station 7","Safety PLC for Formulation operations","2022-01-24","192.168.252.227","Modbus TCP"
"FOR-0207","San Diego Biotech","Formulation","LIMS","Medium","Rockwell","LIMS-2197","Formulation - Station 8","LIMS for Formulation operations","2021-06-08","192.168.11.115","OPC UA"
"FOR-0208","San Diego Biotech","Formulation","HMI","Medium","ABB","HMI-7858","Formulation - Station 9","HMI for Formulation operations","2022-04-08","192.168.62.215","Ethernet/IP"
"FOR-0209","San Diego Biotech","Formulation","Environmental Monitor","Low","Emerson","EnvironmentalMonitor-8310","Formulation - Station 10","Environmental Monitor for Formulation operations","2023-01-24","192.168.238.86","DNP3"
"FOR-0210","San Diego Biotech","Formulation","Serialization System","Low","Siemens","SerializationSystem-2344","Formulation - Station 11","Serialization System for Formulation operations","2025-08-08","192.168.23.184","Modbus TCP"
"FOR-0211","San Diego Biotech","Formulation","Safety PLC","Low","ABB","SafetyPLC-1607","Formulation - Station 12","Safety PLC for Formulation operations","2022-11-06","192.168.232.235","Profinet"
"FOR-0212","San Diego Biotech","Formulation","Temperature Controller","Critical","Rockwell","TemperatureController-5569","Formulation - Station 13","Temperature Controller for Formulation operations","2023-06-29","192.168.104.145","Profinet"
"FOR-0213","San Diego Biotech","Formulation","Environmental Monitor","Critical","ABB","EnvironmentalMonitor-6066","Formulation - Station 14","Environmental Monitor for Formulation operations","2025-01-04","192.168.95.63","Modbus TCP"
"FOR-0214","San Diego Biotech","Formulation","Temperature Controller","Critical","Siemens","TemperatureController-8615","Formulation - Station 15","Temperature Controller for Formulation operations","2022-05-07","192.168.142.186","Profinet"
"FOR-0215","San Diego Biotech","Formulation","PLC","High","ABB","PLC-1831","Formulation - Station 16","PLC for Formulation operations","2021-10-08","192.168.208.243","DNP3"
"FOR-0216","San Diego Biotech","Formulation","Environmental Monitor","Low","ABB","EnvironmentalMonitor-2739","Formulation - Station 17","Environmental Monitor for Formulation operations","2021-07-20","192.168.90.230","DNP3"
"FOR-0217","San Diego Biotech","Formulation","HMI","Medium","Honeywell","HMI-5690","Formulation - Station 18","HMI for Formulation operations","2025-02-16","192.168.217.121","Ethernet/IP"
"FOR-0218","San Diego Biotech","Formulation","Temperature Controller","Critical","Siemens","TemperatureController-9344","Formulation - Station 19","Temperature Controller for Formulation operations","2024-03-29","192.168.160.206","Profinet"
"FOR-0219","San Diego Biotech","Formulation","LIMS","Medium","Rockwell","LIMS-8241","Formulation - Station 20","LIMS for Formulation operations","2023-06-23","192.168.109.10","DNP3"
"FOR-0220","San Diego Biotech","Formulation","LIMS","Medium","ABB","LIMS-2279","Formulation - Station 21","LIMS for Formulation operations","2024-09-07","192.168.115.6","DNP3"
"FOR-0221","San Diego Biotech","Formulation","SCADA","High","Honeywell","SCADA-3584","Formulation - Station 22","SCADA for Formulation operations","2024-09-18","192.168.49.43","Ethernet/IP"
"FOR-0222","San Diego Biotech","Formulation","Batch Controller","Critical","Siemens","BatchController-8426","Formulation - Station 23","Batch Controller for Formulation operations","2024-01-13","192.168.175.26","Modbus TCP"
"FOR-0223","San Diego Biotech","Formulation","SCADA","High","Emerson","SCADA-2168","Formulation - Station 24","SCADA for Formulation operations","2023-03-24","192.168.25.109","Modbus TCP"
"FOR-0224","San Diego Biotech","Formulation","LIMS","Medium","ABB","LIMS-6011","Formulation - Station 25","LIMS for Formulation operations","2023-12-16","192.168.129.67","OPC UA"
"FOR-0225","San Diego Biotech","Formulation","Serialization System","Critical","Honeywell","SerializationSystem-1891","Formulation - Station 26","Serialization System for Formulation operations","2023-11-25","192.168.192.136","Ethernet/IP"
"FOR-0226","San Diego Biotech","Formulation","HMI","High","Rockwell","HMI-5490","Formulation - Station 27","HMI for Formulation operations","2022-12-13","192.168.244.233","OPC UA"
"FOR-0227","San Diego Biotech","Formulation","Serialization System","Low","Honeywell","SerializationSystem-1538","Formulation - Station 28","Serialization System for Formulation operations","2024-11-29","192.168.134.177","OPC UA"
"FOR-0228","San Diego Biotech","Formulation","Batch Controller","Critical","ABB","BatchController-2098","Formulation - Station 29","Batch Controller for Formulation operations","2025-02-17","192.168.55.209","Ethernet/IP"
"FOR-0229","San Diego Biotech","Formulation","Batch Controller","High","Rockwell","BatchController-1036","Formulation - Station 30","Batch Controller for Formulation operations","2022-03-28","192.168.87.186","Modbus TCP"
"FOR-0230","San Diego Biotech","Formulation","Environmental Monitor","Medium","Emerson","EnvironmentalMonitor-9457","Formulation - Station 31","Environmental Monitor for Formulation operations","2020-10-26","192.168.39.186","OPC UA"
"FOR-0231","San Diego Biotech","Formulation","Safety PLC","High","ABB","SafetyPLC-3300","Formulation - Station 32","Safety PLC for Formulation operations","2024-01-26","192.168.191.180","Profinet"
"FOR-0232","San Diego Biotech","Formulation","HMI","Medium","ABB","HMI-5839","Formulation - Station 33","HMI for Formulation operations","2021-10-06","192.168.66.238","Ethernet/IP"
"FOR-0233","San Diego Biotech","Formulation","HMI","Medium","Schneider","HMI-1635","Formulation - Station 34","HMI for Formulation operations","2023-12-05","192.168.128.100","Modbus TCP"
"PAC-0234","San Diego Biotech","Packaging","HMI","Critical","ABB","HMI-9026","Packaging - Station 1","HMI for Packaging operations","2023-05-10","192.168.171.46","OPC UA"
"PAC-0235","San Diego Biotech","Packaging","LIMS","Medium","Rockwell","LIMS-9058","Packaging - Station 2","LIMS for Packaging operations","2023-11-04","192.168.176.224","Profinet"
"PAC-0236","San Diego Biotech","Packaging","Environmental Monitor","Medium","Siemens","EnvironmentalMonitor-2112","Packaging - Station 3","Environmental Monitor for Packaging operations","2022-05-30","192.168.26.179","OPC UA"
"PAC-0237","San Diego Biotech","Packaging","HMI","Medium","Emerson","HMI-3208","Packaging - Station 4","HMI for Packaging operations","2023-08-30","192.168.243.144","Profinet"
"PAC-0238","San Diego Biotech","Packaging","HMI","Low","Emerson","HMI-5611","Packaging - Station 5","HMI for Packaging operations","2023-02-14","192.168.17.137","DNP3"
"PAC-0239","San Diego Biotech","Packaging","Batch Controller","Critical","Rockwell","BatchController-7514","Packaging - Station 6","Batch Controller for Packaging operations","2024-04-24","192.168.206.227","DNP3"
"PAC-0240","San Diego Biotech","Packaging","HMI","Critical","Emerson","HMI-9511","Packaging - Station 7","HMI for Packaging operations","2024-11-28","192.168.245.15","Ethernet/IP"
"PAC-0241","San Diego Biotech","Packaging","Environmental Monitor","Medium","Siemens","EnvironmentalMonitor-9373","Packaging - Station 8","Environmental Monitor for Packaging operations","2020-11-09","192.168.174.226","Ethernet/IP"
"PAC-0242","San Diego Biotech","Packaging","Environmental Monitor","Critical","Schneider","EnvironmentalMonitor-3412","Packaging - Station 9","Environmental Monitor for Packaging operations","2023-12-04","192.168.192.227","Modbus TCP"
"PAC-0243","San Diego Biotech","Packaging","MES","High","Honeywell","MES-6927","Packaging - Station 10","MES for Packaging operations","2025-04-24","192.168.163.9","OPC UA"
"PAC-0244","San Diego Biotech","Packaging","MES","High","Rockwell","MES-8265","Packaging - Station 11","MES for Packaging operations","2025-07-08","192.168.36.116","Profinet"
"PAC-0245","San Diego Biotech","Packaging","Environmental Monitor","Low","Schneider","EnvironmentalMonitor-4945","Packaging - Station 12","Environmental Monitor for Packaging operations","2023-07-27","192.168.135.103","Modbus TCP"
"PAC-0246","San Diego Biotech","Packaging","PLC","Medium","Siemens","PLC-2337","Packaging - Station 13","PLC for Packaging operations","2021-05-19","192.168.221.43","DNP3"
"PAC-0247","San Diego Biotech","Packaging","Serialization System","Critical","Rockwell","SerializationSystem-1469","Packaging - Station 14","Serialization System for Packaging operations","2022-02-21","192.168.154.43","OPC UA"
"PAC-0248","San Diego Biotech","Packaging","HMI","Medium","Honeywell","HMI-9593","Packaging - Station 15","HMI for Packaging operations","2025-04-03","192.168.6.239","Ethernet/IP"
"PAC-0249","San Diego Biotech","Packaging","LIMS","Medium","Siemens","LIMS-2828","Packaging - Station 16","LIMS for Packaging operations","2021-12-12","192.168.238.132","Profinet"
"PAC-0250","San Diego Biotech","Packaging","LIMS","Critical","Honeywell","LIMS-1779","Packaging - Station 17","LIMS for Packaging operations","2024-02-29","192.168.177.2","Modbus TCP"
"PAC-0251","San Diego Biotech","Packaging","SCADA","Critical","Rockwell","SCADA-3885","Packaging - Station 18","SCADA for Packaging operations","2025-01-10","192.168.91.29","OPC UA"
"PAC-0252","San Diego Biotech","Packaging","Temperature Controller","Critical","Honeywell","TemperatureController-4200","Packaging - Station 19","Temperature Controller for Packaging operations","2025-07-07","192.168.117.184","Modbus TCP"
"PAC-0253","San Diego Biotech","Packaging","Temperature Controller","High","Emerson","TemperatureController-6154","Packaging - Station 20","Temperature Controller for Packaging operations","2023-04-07","192.168.85.111","OPC UA"
"PAC-0254","San Diego Biotech","Packaging","SCADA","Medium","Rockwell","SCADA-7122","Packaging - Station 21","SCADA for Packaging operations","2025-04-10","192.168.235.231","Ethernet/IP"
"QUA-0255","San Diego Biotech","Quality Control Lab","SCADA","High","ABB","SCADA-9008","Quality Control Lab - Station 1","SCADA for Quality Control Lab operations","2021-10-16","192.168.219.76","Ethernet/IP"
"QUA-0256","San Diego Biotech","Quality Control Lab","MES","High","Emerson","MES-6536","Quality Control Lab - Station 2","MES for Quality Control Lab operations","2023-11-01","192.168.54.114","OPC UA"
"QUA-0257","San Diego Biotech","Quality Control Lab","Safety PLC","Low","Honeywell","SafetyPLC-4792","Quality Control Lab - Station 3","Safety PLC for Quality Control Lab operations","2023-08-11","192.168.131.94","DNP3"
"QUA-0258","San Diego Biotech","Quality Control Lab","Environmental Monitor","Critical","Rockwell","EnvironmentalMonitor-5356","Quality Control Lab - Station 4","Environmental Monitor for Quality Control Lab operations","2024-11-24","192.168.250.222","Profinet"
"QUA-0259","San Diego Biotech","Quality Control Lab","Serialization System","Medium","Siemens","SerializationSystem-1558","Quality Control Lab - Station 5","Serialization System for Quality Control Lab operations","2025-03-03","192.168.14.70","DNP3"
"QUA-0260","San Diego Biotech","Quality Control Lab","HMI","High","ABB","HMI-6305","Quality Control Lab - Station 6","HMI for Quality Control Lab operations","2023-03-26","192.168.31.186","DNP3"
"QUA-0261","San Diego Biotech","Quality Control Lab","Batch Controller","Medium","Schneider","BatchController-4160","Quality Control Lab - Station 7","Batch Controller for Quality Control Lab operations","2024-07-18","192.168.153.18","OPC UA"
"QUA-0262","San Diego Biotech","Quality Control Lab","Temperature Controller","Critical","Honeywell","TemperatureController-8248","Quality Control Lab - Station 8","Temperature Controller for Quality Control Lab operations","2022-12-30","192.168.222.74","DNP3"
"QUA-0263","San Diego Biotech","Quality Control Lab","Serialization System","Critical","Schneider","SerializationSystem-4398","Quality Control Lab - Station 9","Serialization System for Quality Control Lab operations","2025-02-04","192.168.53.82","Profinet"
"QUA-0264","San Diego Biotech","Quality Control Lab","Environmental Monitor","Critical","Schneider","EnvironmentalMonitor-2331","Quality Control Lab - Station 10","Environmental Monitor for Quality Control Lab operations","2025-07-09","192.168.229.131","Profinet"
"QUA-0265","San Diego Biotech","Quality Control Lab","Environmental Monitor","High","Honeywell","EnvironmentalMonitor-2724","Quality Control Lab - Station 11","Environmental Monitor for Quality Control Lab operations","2024-08-29","192.168.150.1","Profinet"
"QUA-0266","San Diego Biotech","Quality Control Lab","Batch Controller","Critical","Schneider","BatchController-9208","Quality Control Lab - Station 12","Batch Controller for Quality Control Lab operations","2022-11-29","192.168.69.248","DNP3"
"QUA-0267","San Diego Biotech","Quality Control Lab","Temperature Controller","High","Emerson","TemperatureController-3071","Quality Control Lab - Station 13","Temperature Controller for Quality Control Lab operations","2025-10-18","192.168.189.12","DNP3"
"QUA-0268","San Diego Biotech","Quality Control Lab","Batch Controller","Medium","Schneider","BatchController-4833","Quality Control Lab - Station 14","Batch Controller for Quality Control Lab operations","2022-06-07","192.168.171.131","Profinet"
"QUA-0269","San Diego Biotech","Quality Control Lab","Temperature Controller","Critical","Honeywell","TemperatureController-5933","Quality Control Lab - Station 15","Temperature Controller for Quality Control Lab operations","2023-09-14","192.168.136.192","DNP3"
"QUA-0270","San Diego Biotech","Quality Control Lab","Serialization System","Medium","Honeywell","SerializationSystem-5617","Quality Control Lab - Station 16","Serialization System for Quality Control Lab operations","2021-10-27","192.168.165.130","Modbus TCP"
"QUA-0271","San Diego Biotech","Quality Control Lab","SCADA","Critical","Rockwell","SCADA-9339","Quality Control Lab - Station 17","SCADA for Quality Control Lab operations","2021-06-18","192.168.251.61","Modbus TCP"
"QUA-0272","San Diego Biotech","Quality Control Lab","SCADA","Critical","ABB","SCADA-6740","Quality Control Lab - Station 18","SCADA for Quality Control Lab operations","2021-12-25","192.168.234.230","Modbus TCP"
"QUA-0273","San Diego Biotech","Quality Control Lab","Batch Controller","Critical","Rockwell","BatchController-7048","Quality Control Lab - Station 19","Batch Controller for Quality Control Lab operations","2023-05-16","192.168.185.153","OPC UA"
"QUA-0274","San Diego Biotech","Quality Control Lab","LIMS","High","Siemens","LIMS-5270","Quality Control Lab - Station 20","LIMS for Quality Control Lab operations","2020-11-26","192.168.232.84","DNP3"
"QUA-0275","San Diego Biotech","Quality Control Lab","Safety PLC","Medium","ABB","SafetyPLC-6109","Quality Control Lab - Station 21","Safety PLC for Quality Control Lab operations","2021-01-11","192.168.200.241","DNP3"
"QUA-0276","San Diego Biotech","Quality Control Lab","HMI","High","Siemens","HMI-8025","Quality Control Lab - Station 22","HMI for Quality Control Lab operations","2024-05-16","192.168.241.19","Profinet"
"QUA-0277","San Diego Biotech","Quality Control Lab","Serialization System","Medium","Rockwell","SerializationSystem-5471","Quality Control Lab - Station 23","Serialization System for Quality Control Lab operations","2023-08-20","192.168.177.165","DNP3"
"QUA-0278","San Diego Biotech","Quality Control Lab","Serialization System","Medium","Schneider","SerializationSystem-2762","Quality Control Lab - Station 24","Serialization System for Quality Control Lab operations","2023-10-08","192.168.13.209","Ethernet/IP"
"QUA-0279","San Diego Biotech","Quality Control Lab","Batch Controller","High","ABB","BatchController-7222","Quality Control Lab - Station 25","Batch Controller for Quality Control Lab operations","2023-12-05","192.168.165.192","OPC UA"
"QUA-0280","San Diego Biotech","Quality Control Lab","Batch Controller","Critical","Rockwell","BatchController-3026","Quality Control Lab - Station 26","Batch Controller for Quality Control Lab operations","2023-02-28","192.168.94.177","Modbus TCP"
"QUA-0281","San Diego Biotech","Quality Control Lab","LIMS","High","Honeywell","LIMS-9002","Quality Control Lab - Station 27","LIMS for Quality Control Lab operations","2023-10-04","192.168.37.197","DNP3"
"QUA-0282","San Diego Biotech","Quality Control Lab","HMI","Medium","Honeywell","HMI-5744","Quality Control Lab - Station 28","HMI for Quality Control Lab operations","2023-10-23","192.168.41.123","OPC UA"
"QUA-0283","San Diego Biotech","Quality Control Lab","Environmental Monitor","High","Honeywell","EnvironmentalMonitor-9293","Quality Control Lab - Station 29","Environmental Monitor for Quality Control Lab operations","2020-12-07","192.168.196.79","Profinet"
"UTI-0284","San Diego Biotech","Utilities","SCADA","Medium","Rockwell","SCADA-7957","Utilities - Station 1","SCADA for Utilities operations","2025-04-21","192.168.70.156","Modbus TCP"
"UTI-0285","San Diego Biotech","Utilities","LIMS","Medium","Schneider","LIMS-9384","Utilities - Station 2","LIMS for Utilities operations","2022-03-16","192.168.80.65","Ethernet/IP"
"UTI-0286","San Diego Biotech","Utilities","LIMS","Low","Siemens","LIMS-1831","Utilities - Station 3","LIMS for Utilities operations","2022-03-02","192.168.56.225","Profinet"
"UTI-0287","San Diego Biotech","Utilities","MES","Critical","Honeywell","MES-6026","Utilities - Station 4","MES for Utilities operations","2022-11-25","192.168.241.201","DNP3"
"UTI-0288","San Diego Biotech","Utilities","PLC","Medium","Rockwell","PLC-6662","Utilities - Station 5","PLC for Utilities operations","2025-08-03","192.168.151.57","Modbus TCP"
"UTI-0289","San Diego Biotech","Utilities","LIMS","High","Siemens","LIMS-9720","Utilities - Station 6","LIMS for Utilities operations","2025-05-29","192.168.108.234","OPC UA"
"UTI-0290","San Diego Biotech","Utilities","Safety PLC","High","ABB","SafetyPLC-5345","Utilities - Station 7","Safety PLC for Utilities operations","2025-02-11","192.168.76.106","Modbus TCP"
"UTI-0291","San Diego Biotech","Utilities","LIMS","Low","Siemens","LIMS-9023","Utilities - Station 8","LIMS for Utilities operations","2025-08-04","192.168.20.52","Modbus TCP"
"UTI-0292","San Diego Biotech","Utilities","MES","Critical","ABB","MES-4810","Utilities - Station 9","MES for Utilities operations","2025-03-21","192.168.219.111","DNP3"
"UTI-0293","San Diego Biotech","Utilities","Environmental Monitor","Low","Honeywell","EnvironmentalMonitor-8967","Utilities - Station 10","Environmental Monitor for Utilities operations","2025-01-14","192.168.116.204","DNP3"
"UTI-0294","San Diego Biotech","Utilities","Serialization System","Critical","Emerson","SerializationSystem-1087","Utilities - Station 11","Serialization System for Utilities operations","2024-12-24","192.168.179.176","DNP3"
"UTI-0295","San Diego Biotech","Utilities","LIMS","Medium","Emerson","LIMS-4156","Utilities - Station 12","LIMS for Utilities operations","2022-12-20","192.168.206.97","OPC UA"
